ID,Name,Category,Slot,Tags,Level,Description (Fluff),Effects,Cost,Value Per Level,School,Skill Total,Total Materials,Main Materials,Optional Materials,Base Item Options,Physical Resist,Fire Resist,Frost Resist,Brilliant Resist,Shadow Resist,Speed,Parry Defense,Dodge Defense,Vital Defense,Mental Defense,Instinct Defense,Shallow Health,Deep Health,Accuracy,Damage,Weapon Defense,Range,Relevant Skills,Might Requirement,Held Slots,Supplement,Material Types,Archetype
I011,Adventurer's Belt,Pack/Gear,,,1,A sturdy belt with pouches for easy access to all manner of adventuring goods. It occupies your Belt slot.,"The belt has 5 pouches, each of which is an easily-accessible container that can hold a small object such as a Potion, vial of Poison, or Grenade.",3 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I012,"Cart, Small",Pack/Gear,,,1,"A small wooden cart, with long handles so that it can be pulled by a beast of burden.","Enough room to hold about a half-dozen barrels, 3-4 people, or a load of similar size.",12 Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I013,Musical Instrument,Tool/Kit,,,1,"Lutes, trumpets, drums, and many more types of musical instruments are a common sight in civilized lands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I014,Climber's Kit,Tool/Kit,,,1,"A small leather pack, containing a variety of hooks, pitons, boot spikes, and other climbing gear all bundled tightly for easy transport. Contains everything you need to scale a wide variety of terrain without needing existing handholds.","This kit can reduce the penalty to climb difficult cliffs and walls, although some time might be needed for setup.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I015,Disguise Kit,Tool/Kit,,,1,"A nondescript burlap bag cinched with hemp rope, this kit contains a basic assortment of materials to construct a disguise. Included are a small assortment of basic cosmetics for altering the appearance of your face as well as a variety of accessories for a number of disguises, including hats, bandannas, convincing but mostly worthless costume jewelry, and the like.","This kit allows you to put on a disguise for use with Masquerade. This kit only covers very general disguise requirements, such as basic makeup and common, simple clothing items. More specific or complex disguises might require additional costume pieces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I016,Tinker's Kit,Tool/Kit,,,1,"A small leather case strapped tightly, usually embossed with a small insignia of a guild or other organization, with a small buckle to keep it shut. Inside the case holds a variety of minute picks, screwdrivers, pins, and the like wrought from fine spring steel which allow for fine manipulation of locks and other mechanical devices.","These tools allow you to manipulate fine devices at no penalty, including picking locks, which might otherwise be difficult or outright impossible.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I017,Fisher's Kit,Tool/Kit,,,1,,These tools allow you to fish in a variety of bodies of water at no penalty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I018,Tailor's Kit,Tool/Kit,,,1,"This is a set of standard tools required for crafting and repair work, usually a satchel containing hammers, chisels, nails, tongs, and the like. Specific tools might be required for very particular arts, but the bulk of projects can be finished with this set. It comes in a convenient leather case that rolls up tightly, and includes a small book of common references for working common materials.","This item fulfills the tool requirement for most items created with Tailoring. This also includes recipes for all level 1 Tailoring equipment and adventuring goods, with room to add more recipes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I019,Carving Kit,Tool/Kit,,,1,"This is a set of standard tools required for crafting and repair work, usually a satchel containing hammers, chisels, nails, tongs, and the like. Specific tools might be required for very particular arts, but the bulk of projects can be finished with this set. It comes in a convenient leather case that rolls up tightly, and includes a small book of common references for working common materials.","This item fulfills the tool requirement for most items created with Carving. This also includes recipes for all level 1 Carving equipment and adventuring goods, with room to add more recipes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I020,Smithing Kit,Tool/Kit,,,1,"This is a set of standard tools required for crafting and repair work, usually a satchel containing hammers, chisels, nails, tongs, and the like. Specific tools might be required for very particular arts, but the bulk of projects can be finished with this set. It comes in a convenient leather case that rolls up tightly, and includes a small book of common references for working common materials.","This item fulfills the tool requirement for most items created with Smithing, although a forge is usually still required. This also includes recipes for all level 1 Smithing equipment and adventuring goods, with room to add more recipes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I021,Jeweler's Kit,Tool/Kit,,,1,"This is a set of standard tools required for crafting and repair work, usually a satchel containing hammers, chisels, nails, tongs, and the like. Specific tools might be required for very particular arts, but the bulk of projects can be finished with this set. It comes in a convenient leather case that rolls up tightly, and includes a small book of common references for working common materials.","This item fulfills the tool requirement for most items created with Jewelrymaking. This also includes recipes for all level 1 Jewelrymaking equipment and adventuring goods, with room to add more recipes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I022,Mixology Set,Tool/Kit,,,1,"This is a set of beakers, spoons, vials, and measuring devices that no alchemist would be caught without, held safe in a small, sturdy box. Some projects might demand specific equipment, but with the handy charts and material listings kept in a waterproof folio this kit covers almost every need!","This item fulfills the tool requirement for most items created with Alchemy. This also includes recipes for all standard Alchemy-created alchemical goods, with room to add more recipes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,
I023,Travel Rations,Food,,,1-5,"Hard tack, cured meat, dried fruits; through simple yet careful preparation, many kinds of food can be prepared for a long journey.","Travel rations are enough food for a single person for an entire day. They will never spoil, letting a skilled cook preserve Food ingredients indefinitely.",,,,,1,,None,,,,,,,,,,,,,,,,,,,,,,Base Game,,Utility
I024,Power Snack,Food,,,1-5,A quick yet tasty meal to help you take on the day!,"This is a full day's meal. In addition, you may Sift [six times Level] cards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Utility
I025,Hearty Meal,Food,,,1-5,"A delicious, filling meal augmented by nutritious herbs, hearty broth, or just a lot of extra food.","This is a full day's meal. In addition, the next time you get a full night's rest, you heal an extra [Level] Shallow Health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Healing/Protection
I026,Muscular Feast,Food,,,1-5,"A dense dish packed with powerful foods, filling you with energy and vitality.","This is a full day's meal. In addition, until you get a full night's rest, the next [twice Level] times you would gain a stack of Bleeding, Crippled, or Slowed, instead you don't. If you would gain multiple effects at the same time, but this effect wouldn't prevent all of them, you may choose which stacks to prevent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Healing/Protection
I027,Soul Soup,Food,,,1-5,"A relaxing meal with balanced flavors and vitamins, bringing a feeling of harmony and clarity.","This is a full day's meal. In addition, you gain [Level] Nutrition points that last until you get a full night's rest. When you use an Encounter Technique, you may pay [that Technique’s Level] Nutrition points. If you do, you don’t expend a use of it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Resource
I028,Acidic Flask,Grenade,,,1,"Originally regarded as a useless byproduct of a botched process, potential was seen and after much refinement a method for creating strong acid was born. An Acidic Flask is composed of a caustic mixture that clings to whatever surface it is shattered against, burning and warping flesh.","On a hit, the target gains 5 + [Clubs] stacks of Bleeding.",,,,,,"Brilliant, Fire, Frost, or Shadow",,,,,,,,,,,,,,,,,,,,,,,Base Game,,Damage+Debuff
I029,Immaculate Adhesive,Grenade,,,1,"The most refined and effective formula for glue, these adhesives are used in many crafts: bookbinding, armorworking, carpentry, tile-laying, and many more possibilities. Only a small amount of adhesive is needed to bind two materials, and excessive use of glue causes the material to rebound off of itself, with a high risk of splattering.","Each dose of adhesive can cover a surface up to 3 meters in radius, hardening after 1 minute. Any items placed on the glue during this time and left there will become adhered to the surface, requiring enough force to remove that it would damage both objects in the process.When thrown as a Grenade, instead of making an attack as usual, choose a space within the weapon's Range. That space and all spaces adjacent to it each gain 2 levels of Difficult Terrain that last for the encounter.",,,,,,Bone,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Control
I030,Bottled Fire,Grenade,,,2,"A staple of any resourceful adventurer, a glass flask of Bottled Fire contains a mix of reagents that react violently when smashed on a surface, engulfing the point of impact in an intense plume of flame. The concoction results in a quick flash of particularly hot fire, and as such will ignite most flammable materials it strikes.",On a hit it deals 8 Fire damage.,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Damage
I031,Smokejar,Grenade,,,2,"A smokejar consists of a stone or clay flask containing a small glass bubble, both of which contain alchemical reagents. When the glass bubble inside is shattered and the materials react with each other - usually accomplished by either shattering the jar on the ground or shaking it violently - a great amount of smoke billows out of the mixture, obscuring vision.","When thrown or broken, the jar creates a cloud of smoke in a 1-meter-radius circle centered on the jar. At the start of your next 2 turns the radius increases by 1, eventually covering a 3-meter-radius area. The smoke hangs in the air for the scene or until dispersed by a strong wind. The smoke acts as Heavy Cover in its area.The jar can also be thrown as a Grenade. If the attack hits, the target is Crippled 3 + [Clubs] times. Then, the smoke cloud is created in the target's space if the attack hits or is Parried, otherwise it is created in the space behind them.",,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Control
I032,Bonemelter,Grenade,,,3,"An horrifying mixture of uncommon reagents, frequently employing byproducts harvested from demonic entities, once prepared this grenade explodes into a toxic mist that wreaks bodily havoc on the victim.","On a hit, before damage or any other effects the target gains 3 + [Diamonds] stacks of Necrotic, then it deals 8 Shadow damage.",,,,,,Shadow,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Damage+Debuff
I033,Snowstorm,Grenade,,,3,"A glass flask of Snowstorm contains a mix of reagents that react instantly when smashed on a surface and quickly leech heat from anything the chemicals touch as part of the reaction. The concoction results in a quick-acting mixture that dramatically chills anything it spreads across before evaporating, including most liquids if they are not in a sufficiently insulated container.",On a hit it deals 8 Frost damage and the target is Slowed 3 + [Spades] times.,,,,,,Frost,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Damage+Debuff
I034,Sunbeam,Grenade,,,4,A stabilized mixture of spiritually-energized materials that erupts suddenly when sufficiently disturbed.,On a hit it deals 9 Brilliant damage and the target gains 4 + [Diamonds] stacks of Vulnerable.,,,,,,Brilliant,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Damage+Debuff
I035,Hellfire Bomb,Grenade,,,4,"By combining extremely volatile reagents and suspending them in a total vacuum, a talented alchemist can create a veritable inferno in a nutshell.",Make an attack against all creatures adjacent to the target. On a hit it deals 8 Fire damage.,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Damage
I036,Thunderclap-in-a-Jar,Grenade,,,5,"Originally a modification of the common Bottled Fire, after much work the recipe found enough distinction to be regarded as its own grenade, named the Thunderclap (in a jar) for the intense concussive blast that is produced when the container is shattered and the reagents mix. Rather than scorching its victims, the sheer force and metal fragments in the jar cause the bulk of the destruction.","Instead of attacking a target, choose a space within range of the Grenade. Make an attack against all creatures in or adjacent to the space. On a hit it deals 8 Physical damage, and the target gains 2 + [Diamonds] stacks of Harried and 2 + [Clubs] stacks of Bleeding.",,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Damage+Debuff
I037,Energizing Brew,Potion,,,1,"Many civilizations have plants native to their climate which can be roasted, dried, pulverized, and otherwise prepared for making some manner of drink out of. These brews all have in common that they increase the drinker's attention, perception, and wakefulness, as well as being a cornerstone of many fast-breaking rituals.","When consumed, until you take a full night's rest you have Good Luck on Reflex flips.",,,,,,Medicinal,None,,,,,,,,,,,,,,,,,,,,,,Base Game,,Buff
I038,Fortifying Concoction,Potion,,,1,"Frequently stocked in the supplies of anyone who might anticipate a fight, from mercenary companies to lone woodsmen, this ages-old recipe bolsters the body with a burst of energy and helps reduce any bruising or swelling.","When consumed, you gain 3 stacks of Protected.",,,,,,Bone,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Healing/Protection
I039,Elemental-Attuned Tincture,Potion,,,2,This mixture creates a negative elemental current in the body of the imbiber which helps ground them and render them somewhat immune to harmful magic and other manifestations of a certain element.,"When this Potion is created, choose Fire, Frost, Brilliant, or Shadow. When consumed, you gain 3 stacks of [chosen type] Ward. Unlike normal Fleeting effects, these stacks don't decay from time passing during combat — instead, 1 stack is removed every hour.",,,,,,"The opposite of the chosen element - Fire for Frost, Brilliant for Shadow, and vice versa",,,,,,,,,,,,,,,,,,,,,,,Base Game,,Buff
I040,Essential Ointment,Potion,,,2,"Made as tiny jars filled with energized salves, vials of oils to be splashed on the face, and herbal pastes that are applied to the energetic centers of the body. Regardless of how it is constructed, these are designed to be quickly and easily applied to the user, causing their body to quickly metabolize energy from their surroundings.","When consumed, you draw 2 cards.",,,,,,Brilliant,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Buff
I041,Soldier's Salts,Potion,,,1,"These take a variety of different forms, known to be made as small pieces of rune-etched ceramic, tiny jars filled with energized salves, and vials of ointment to be splashed on the face. Regardless of how it is constructed, these are designed to be quickly and easily applied to the user and provide a quick burst of invigoration.","When consumed, you regain the use of any Encounter Technique level 2 or lower.",,,,,,Brilliant,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Resource
I042,Calming Brew,Potion,,,3,,"When consumed, ignore the next 4 total stacks of Taunted and/or Frightened you would gain until you take a full night's rest. If you already have stacks of either, remove them and count them against the total.",,,,,,Frost,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Healing/Protection
I043,Healing Potion,Potion,,,2,"A staple of any true adventurer, healing potions contain a mix of specially prepared medicines that help the body resist trauma and shock and aid in blood clotting and other functions that are pretty useful to someone who has been stabbed.","When consumed, you heal 2 Health.",,,,,,Bone,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Healing/Protection
I044,Liquid Charisma,Potion,,,3,,"When consumed, for 1 hour you have Good Luck on all Presence, Persuasion, and Rapport flips.",,,,,,Precious,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Buff
I045,Earthen Draught,Potion,,,4,"Distilling powerful concoctions related to the earth - medicinal bark from old trees, blood of strong predators - produces a syrupy elixir that reinforces one's vitality and strengthens their body against assault.","When consumed, for 1 hour, at the end of each of your turns, you gain enough stacks of Protected so that you have 2 stacks (before any other effects apply).",,,,,,Bone,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Healing/Protection
I046,Fighter's Friend,Potion,,,3,"An extremely refined version of the popular Soldier's Salts, requiring rare and powerful materials to produce. Reserved for only the greatest of fighters.","When consumed, you regain the use of any Encounter Technique level 3 or lower.",,,,,,Brilliant,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Resource
I212,Battlemaster's Brew,Potion,,,4,"A closely-guarded recipe passed between the training halls of true battlemasters, this thick, bitter brew is said to steady the hand and clear the mind at the exact moment a fight demands everything you have left to give. Vanishingly few alchemists know how to make it properly.","When consumed, you regain the use of any Encounter Technique level 4 or lower.",,,,,,Brilliant,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Resource
I047,Swiftblade Vial,Potion,,,4,,"When consumed, you are Hasted eight times, and you may adjust your position in turn order by up to 3.",,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Buff
I048,Insanity Potion,Potion,,,5,"While not the most descriptive name for a potion, it is nonetheless fitting as one may very well have to be mentally disturbed to consider voluntarily drinking it. That being said, the benefits of the Insanity Potion are to be considered, for while it does wreak havoc on a person's physical well-being it also bolsters their strength tremendously, and provided you have medical care for the after-effects it is usually survivable.","When consumed, for 1 hour you gain the following: A +1 bonus to Speed. Ignore any penalties for being Wounded, Crippled, or Slowed. If your attack hits or is Parried, the target gains a stack of Bleeding. You cannot heal any Health or gain any stacks of Protected.",,,,,,Bone,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Buff
I049,Basic Poison,Poison,,,1-5,"A broad category encompassing a variety of lethal and particularly toxic poisons, which are quasi-legal at most but still popular among less scrupulous folk. A staggering number of sources can be ""refined"" to make poisons; cheaper doses simply use substances that are incompatible with the body such as oil, animal venom, and hazardous waste from magical experiments. More refined assassins, however, have even been known to summon minor demons just to render their blood into a pure poison of corruption. No matter what, one rule holds: don’t drink it.",Choose a Basic Poison; you make a dose of that poison with a Concentration of [3 + Level] and a Potency of [Level].,,,,,,Medicinal,None,,,,,,,,,,,,,,,,,,,,,,Base Game,,Utility
I050,Crippling Poison,Poison,,,,"Rather than trying to kill the target outright, this poison is designed to cause wracking pains and muscle spasms that hinder the victim's movements.",An affected creature suffers [Potency] stacks of Crippled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Debuff
I051,Bloody Poison,Poison,,,,"A basic but very commonly used substance, designed to simply cause the victim as much harm as possible.","A target affected by this poison gains [twice its Potency] stacks of Bleeding. If the target ingested the poison, they instead gain [four times its Potency] stacks of Bleeding. Unlike other Poisons, these stacks expire normally.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Debuff
I052,Slowing Poison,Poison,,,,"Frequently used by lawmen and bounty hunters, this poison saps the energy from the victim's limbs and makes their breath heavy in their lungs.",An affected creature suffers [Potency] stacks of Slowed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Debuff
I053,Necrotic Poison,Poison,,,,"A particularly unsavory poison, as soon as it enters the victim's bloodstream they find their wounds almost impossible to close.",A target affected by this poison suffers [three times its Potency] stacks of Necrotic. These stacks can still be removed through Necrotic's other usual rules.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Debuff
I054,Vulnerability Poison,Poison,,,,"Wracking the body with fever-like symptoms and clouding the mind similarly, this niche poison is used to render the victim susceptible to further poisons as well as dark hexes and other magicks.",An affected creature suffers [twice its Potency] stacks of Vulnerable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Debuff
I055,Harrying Poison,Poison,,,,"Favored by kidnappers and mercenaries who need to bring their targets in alive, this poison saps the strength from its victim and removes their ability to defend themselves.",An affected creature suffers [twice its Potency] stacks of Harried.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Debuff
I056,Psychosis Poison,Poison,,,,,"An affected creature suffers [twice its Potency] stacks of the following effect:As long as you have any stacks of this, if you are hit by a damaging attack then you are Frightened of the attacker once.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Game,,Debuff
I057,Cowl of Tranquility,Masterwork,Head,,1-5,"A loose hood stitched from prayer shawls and adorned with simple beads, when donned the wearer feels faint, insubstantial energy flowing through them, like a flowing river or a spring breeze.","This item starts each encounter with [Level] charges. When you would gain a stack of Taunted or Frightened, you may expend a charge from this and instead you don’t gain that stack.",,20,,,,Brilliant,,"I002,I003",,,,,,,,,,,,,,,,,,,,,Base Game,,Defense
I058,Mask of Night,Masterwork,Head,,1,"Anything from a hardened leather mask to a black hood attached to a bandana, the headpiece serves to grant improved vision at night as well as conceal the face; a likely consequence of its original development, as far as anyone can tell, among thieves and rogues.","When the mask is in place it grants its wearer perfect vision in darkness, negating any penalty to sight due to a lack of light. Smoke or anything else that physically obscures sight is not negated, however.",20 Gold,,,,,Shadow,,"I002,I003",,,,,,,,,,,,,,,,,,,,,Base Game,,Novelty/Flavor
I059,Lens of Daybreak,Masterwork,Head,,2,"Appearing either as a monocle, glasses, or any variety of single- or double-lensed accessories, these lenses have frames made from precious metals and usually have fine inscription work along them. These lenses help the wearer's eyes pierce fog, chase away darkness, dampen excessively-bright light, and so on, making it much easier to see through any difficult circumstances.",The wearer has Good Luck on Awareness flips that specifically involve sight.,40 Gold,,,,,Fire,,"I002,I003",,,,,,,,,,,,,,,,,,,,,Base Game,,Skill/Utility Boost
I060,Confident Cap,Masterwork,Head,,3,"These hats are simple but impressively crafted, designed in an understated fashion but woven with silver threading and other fine materials. The styling of the hats varies, and with that the effects seem to as well - some are styled in a stylish manner that gives the wearer a boost of smugness, and others with clashing, distracting motifs that help them regain their footing in a conversation. Regardless, every expert negotiator can be seen sporting such a hat.","This starts each encounter with 5 charges. Whenever you are in the front in a social contest and your party would gain a Concession, instead you may expend a charge and you don’t gain that Concession.",60 Gold,,,,,Precious,,"I002,I003",,,,,,,,,,,,,,,,,,,,,Base Game,,Social
I061,Crown of Glory,Masterwork,Head,,5,"A glorious crown of precious metals, striking enough to inspire respect from anyone. Such impressive regalia naturally calms and inspires both the wearer and their allies, driving them forward to victory.","Once per day, for 0 AP, the wearer may have themselves and up to 4 allies who can see them each draw a card.",100 Gold,,,,,Brilliant,,"I002,I003",,,,,,,,,,,,,,,,,,,,,Base Game,,Fate/Card
I062,Choker of Silent Whispers,Masterwork,Neck,,1,"A tight-fitting necklace, woven with fine silver chains and clear crystals typically used in divination magics. With concentration, it carries the wearer's whispers a great distance, to a specific someone.","The wearer can mutter inaudibly (nobody else can actually hear that you're talking) while focusing on a specific person within 10 meters, carrying a clear message only to that person. They hear the message as though the wearer were speaking clearly at a normal volume, in the wearer's voice, and will be able to tell that the wearer is sending the message if they see the wearer whispering.",20 Gold,,,,,Shadow,,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Novelty/Flavor
I063,Cloak of Caches,Masterwork,Neck,,1,"A favorite of travelers, this large cloak is made from warm quilted fabric and furs, featuring a charming buckle of silver, gold, or similar metal. Inside the cloak are a set of large, useful pockets that seem to hold many useful trinkets.","As though using an easily-accessible location, the wearer may reach into the cloak and pull out any of the following:a set of metal utensilsa metal bowla simple yet warm blanketa small utility knifea 20-meter coil of ropea flint and steel seta small glass jara spool of twine (roughly 10 meters' worth)a wooden ""coin""a pair of crude bone diceOnly one of each item can be produced at a time. At the end of the encounter, any produced items or their remains fade away as though someone set them down and forgot where they put them, unless you specifically wish otherwise for a given item.",20 Gold,,,,,"Bone, Metal, Wood, Shadow",,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Storage
I064,Diver's Necklace,Masterwork,Neck,,1,"Fashioned as a string of pearls, driftwood, and riverstones, these necklaces are not ostentatious but behind their plain appearance lies a useful enchantment. While fastened around their neck, the wearer finds that water passes into their lungs as easily as air, and benefits their body just the same.",The wearer can breathe in water perfectly as though it were air.,20 Gold,,,,,Wood,,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Novelty/Flavor
I065,Snowfall Drape,Masterwork,Neck,,1-5,"A large, soft, warm cloak made to keep the wearer warm in the harshest of snowstorms. A mystical power of this cloak allows the wearer to leave a trail of thick, fluffy snow in their wake, leading some to believe it actually absorbs chill from around it, storing it for later use.","Once per encounter, when you move, you may ruffle the cloak and leave snow in the first 3 spaces you move from that action. Those spaces each gain [Level] degrees of Difficult Terrain that last for the encounter.",,20,,,,Frost,,I003,,,,,,,,,,,,,,,,,,,,,Base Game,,Mobility
I067,Elemental-Resistant Armor,Masterwork,Torso,,"1, 2","A very broad category for a common enchantment (as common as magic items might be, anyway), armor can be enchanted to resist a variety of elemental types. Mundane armor provides only Physical Soak - no protection against Fire damage, for example - but armor might be enchanted to protect the wearer against Fire, Frost, Shadow, or (rarely) Brilliant damage.","The wearer gains a +1 bonus to Fire, Frost, Brilliant, or Shadow Resist, chosen when the item is created. If the enhancement is Level 2, it increases to a total of +2 Resist of the chosen type.",,20,,,,"The opposite of the chosen element - Fire for Frost, Brilliant for Shadow, and vice versa",,"I128,I129,I002",,,,,,,,,,,,,,,,,,,,,Base Game,,Defense
I068,Dauntless Wrap,Masterwork,Torso,,1-5,"Clothing or armor created with thick threading, firm metal wire, and many other sturdy materials. While worn it imparts a sense of security and snugness, and is prized for its supernatural ability to keep someone in the fight even when their strength would otherwise fail.","The first time each day that losing Health would Down you, before you lose that Health you gain [thrice the enhancement's Level] stacks of Protected.",,20,,,,Bone,,"I128,I129,I002",,,,,,,,,,,,,,,,,,,,,Base Game,,Defense
I069,Armor of Constitutional Integrity,Masterwork,Torso,,2,"Applicable to both armor as well as formal dress, garments with this enhancement stabilize the wearer’s vital energy as well as protecting it from all manner of toxin. They are worn frequently by a variety of people, from those who live a life of adventure to nobility who often fear for threats of assassination.","Any attack against the wearer by a Poison, Disease, or similar bodily threat has Bad Luck. The wearer also has Good Luck on Resilience flips.",40 Gold,,,,,Medicinal,,"I128,I129,I002",,,,,,,,,,,,,,,,,,,,,Base Game,,Defense
I070,Coat of Knit Flesh,Masterwork,Torso,,"2, 4","This suit of armor includes woven leathers, dyed deep reds and purples. While donned the wearer feels a sense of calm, relaxed energy and over time will rarely find themselves with minor scrapes and bruises, even after a deal of physical labor.","Each day, the first 2 (if Level 2) or 4 (if Level 4) stacks of Bleeding the wearer would gain are ignored instead.",,20,,,,Bone,,"I128,I129,I002",,,,,,,,,,,,,,,,,,,,,Base Game,,Defense
