ID,Name,Description (original),Fluff (draft),Effects (draft),Status
I020,Smithing Kit,"This is a set of standard tools required for crafting and repair work, usually a satchel containing hammers, chisels, nails, tongs, and the like. Specific tools might be required for very particular arts, but the bulk of projects can be finished with this set. It comes in a convenient leather case that rolls up tightly, and includes a small book of common references for working common materials.
This item fulfills the tool requirement for most items created with Smithing, although a forge is usually still required. This also includes recipes for all level 1 Smithing equipment and adventuring goods, with room to add more recipes.","This is a set of standard tools required for crafting and repair work, usually a satchel containing hammers, chisels, nails, tongs, and the like. Specific tools might be required for very particular arts, but the bulk of projects can be finished with this set. It comes in a convenient leather case that rolls up tightly, and includes a small book of common references for working common materials.","This item fulfills the tool requirement for most items created with Smithing, although a forge is usually still required. This also includes recipes for all level 1 Smithing equipment and adventuring goods, with room to add more recipes.",OK
I021,Jeweler's Kit,"This is a set of standard tools required for crafting and repair work, usually a satchel containing hammers, chisels, nails, tongs, and the like. Specific tools might be required for very particular arts, but the bulk of projects can be finished with this set. It comes in a convenient leather case that rolls up tightly, and includes a small book of common references for working common materials.
This item fulfills the tool requirement for most items created with Jewelrymaking. This also includes recipes for all level 1 Jewelrymaking equipment and adventuring goods, with room to add more recipes.","This is a set of standard tools required for crafting and repair work, usually a satchel containing hammers, chisels, nails, tongs, and the like. Specific tools might be required for very particular arts, but the bulk of projects can be finished with this set. It comes in a convenient leather case that rolls up tightly, and includes a small book of common references for working common materials.","This item fulfills the tool requirement for most items created with Jewelrymaking. This also includes recipes for all level 1 Jewelrymaking equipment and adventuring goods, with room to add more recipes.",OK
I022,Mixology Set,"This is a set of beakers, spoons, vials, and measuring devices that no alchemist would be caught without, held safe in a small, sturdy box. Some projects might demand specific equipment, but with the handy charts and material listings kept in a waterproof folio this kit covers almost every need!
This item fulfills the tool requirement for most items created with Alchemy. This also includes recipes for all standard Alchemy-created alchemical goods, with room to add more recipes.","This is a set of beakers, spoons, vials, and measuring devices that no alchemist would be caught without, held safe in a small, sturdy box. Some projects might demand specific equipment, but with the handy charts and material listings kept in a waterproof folio this kit covers almost every need!","This item fulfills the tool requirement for most items created with Alchemy. This also includes recipes for all standard Alchemy-created alchemical goods, with room to add more recipes.",OK
I023,Travel Rations,"Hard tack, cured meat, dried fruits; through simple yet careful preparation, many kinds of food can be prepared for a long journey.
Travel rations are enough food for a single person for an entire day. They will never spoil, letting a skilled cook preserve Food ingredients indefinitely.","Hard tack, cured meat, dried fruits; through simple yet careful preparation, many kinds of food can be prepared for a long journey.","Travel rations are enough food for a single person for an entire day. They will never spoil, letting a skilled cook preserve Food ingredients indefinitely.",OK
I024,Power Snack,"A quick yet tasty meal to help you take on the day!
This is a full day's meal. In addition, you may Sift [6 times Level] cards.",A quick yet tasty meal to help you take on the day!,"This is a full day's meal. In addition, you may Sift [6 times Level] cards.",OK
I025,Hearty Meal,"A delicious, filling meal augmented by nutritious herbs, hearty broth, or just a lot of extra food.
This is a full day's meal. In addition, the next time you get a full night's rest, you heal an extra [Level] Shallow Health.","A delicious, filling meal augmented by nutritious herbs, hearty broth, or just a lot of extra food.","This is a full day's meal. In addition, the next time you get a full night's rest, you heal an extra [Level] Shallow Health.",OK
I026,Muscular Feast,"A dense dish packed with powerful foods, filling you with energy and vitality.
This is a full day's meal. In addition, until you get a full night's rest, the next [2 times Level] times you would gain a stack of Bleeding, Crippled, or Slowed, instead you don't. If you would gain multiple effects at the same time, but this effect wouldn't prevent all of them, you may choose which stacks to prevent.","A dense dish packed with powerful foods, filling you with energy and vitality.","This is a full day's meal. In addition, until you get a full night's rest, the next [2 times Level] times you would gain a stack of Bleeding, Crippled, or Slowed, instead you don't. If you would gain multiple effects at the same time, but this effect wouldn't prevent all of them, you may choose which stacks to prevent.",OK
I027,Soul Soup,"A relaxing meal with balanced flavors and vitamins, bringing a feeling of harmony and clarity.
This is a full day's meal. In addition, you gain [Level] Nutrition points that last until you get a full night's rest. When you use an Encounter Technique, you may pay [that Technique’s Level] Nutrition points. If you do, you don’t expend a use of it.","A relaxing meal with balanced flavors and vitamins, bringing a feeling of harmony and clarity.","This is a full day's meal. In addition, you gain [Level] Nutrition points that last until you get a full night's rest. When you use an Encounter Technique, you may pay [that Technique’s Level] Nutrition points. If you do, you don’t expend a use of it.",OK
I028,Acidic Flask,"Originally regarded as a useless byproduct of a botched process, potential was seen and after much refinement a method for creating strong acid was born. An Acidic Flask is composed of a caustic mixture that clings to whatever surface it is shattered against, burning and warping flesh.
On a hit, the target gains 4 stacks of Bleeding.","Originally regarded as a useless byproduct of a botched process, potential was seen and after much refinement a method for creating strong acid was born. An Acidic Flask is composed of a caustic mixture that clings to whatever surface it is shattered against, burning and warping flesh.","On a hit, the target gains 4 stacks of Bleeding.",OK
I029,Immaculate Adhesive,"The most refined and effective formula for glue, these adhesives are used in many crafts: bookbinding, armorworking, carpentry, tile-laying, and many more possibilities. Only a small amount of adhesive is needed to bind two materials, and excessive use of glue causes the material to rebound off of itself, with a high risk of splattering.
Each dose of adhesive can cover a surface up to 3 meters in radius, hardening after 1 minute. Any items placed on the glue during this time and left there will become adhered to the surface, requiring enough force to remove that it would damage both objects in the process.
When thrown as a Grenade, instead of making an attack as usual, choose a space within the weapon's Range. That space and all spaces adjacent to it each gain 2 levels of Difficult Terrain that last for the encounter.","The most refined and effective formula for glue, these adhesives are used in many crafts: bookbinding, armorworking, carpentry, tile-laying, and many more possibilities. Only a small amount of adhesive is needed to bind two materials, and excessive use of glue causes the material to rebound off of itself, with a high risk of splattering.","Each dose of adhesive can cover a surface up to 3 meters in radius, hardening after 1 minute. Any items placed on the glue during this time and left there will become adhered to the surface, requiring enough force to remove that it would damage both objects in the process.
When thrown as a Grenade, instead of making an attack as usual, choose a space within the weapon's Range. That space and all spaces adjacent to it each gain 2 levels of Difficult Terrain that last for the encounter.",OK
I030,Bottled Fire,"A staple of any resourceful adventurer, a glass flask of Bottled Fire contains a mix of reagents that react violently when smashed on a surface, engulfing the point of impact in an intense plume of flame. The concoction results in a quick flash of particularly hot fire, and as such will ignite most flammable materials it strikes.
On a hit it deals 7 Fire damage.","A staple of any resourceful adventurer, a glass flask of Bottled Fire contains a mix of reagents that react violently when smashed on a surface, engulfing the point of impact in an intense plume of flame. The concoction results in a quick flash of particularly hot fire, and as such will ignite most flammable materials it strikes.",On a hit it deals 7 Fire damage.,OK
I031,Smokejar,"A smokejar consists of a stone or clay flask containing a small glass bubble, both of which contain alchemical reagents. When the glass bubble inside is shattered and the materials react with each other - usually accomplished by either shattering the jar on the ground or shaking it violently - a great amount of smoke billows out of the mixture, obscuring vision.
When thrown or broken, the jar creates a cloud of smoke in a 1-meter-radius circle centered on the jar. At the start of your next 2 turns the radius increases by 1, eventually covering a 3-meter-radius area. The smoke hangs in the air for the scene or until dispersed by a strong wind. The smoke acts as Heavy Cover in its area.
The jar can also be thrown as a Grenade. If the attack hits, the target is Crippled twice. Then, the smoke cloud is created in the target's space if the attack hits or is Parried, otherwise it is created in the space behind them.","A smokejar consists of a stone or clay flask containing a small glass bubble, both of which contain alchemical reagents. When the glass bubble inside is shattered and the materials react with each other - usually accomplished by either shattering the jar on the ground or shaking it violently - a great amount of smoke billows out of the mixture, obscuring vision.","When thrown or broken, the jar creates a cloud of smoke in a 1-meter-radius circle centered on the jar. At the start of your next 2 turns the radius increases by 1, eventually covering a 3-meter-radius area. The smoke hangs in the air for the scene or until dispersed by a strong wind. The smoke acts as Heavy Cover in its area.
The jar can also be thrown as a Grenade. If the attack hits, the target is Crippled twice. Then, the smoke cloud is created in the target's space if the attack hits or is Parried, otherwise it is created in the space behind them.",OK
I032,Bonemelter,"An horrifying mixture of uncommon reagents, frequently employing byproducts harvested from demonic entities, once prepared this grenade explodes into a toxic mist that wreaks bodily havoc on the victim.
On a hit, before damage or any other effects the target gains 4 stacks of Necrotic, then it deals 7 Shadow damage.","An horrifying mixture of uncommon reagents, frequently employing byproducts harvested from demonic entities, once prepared this grenade explodes into a toxic mist that wreaks bodily havoc on the victim.","On a hit, before damage or any other effects the target gains 4 stacks of Necrotic, then it deals 7 Shadow damage.",OK
I033,Snowstorm,"A glass flask of Snowstorm contains a mix of reagents that react instantly when smashed on a surface and quickly leech heat from anything the chemicals touch as part of the reaction. The concoction results in a quick-acting mixture that dramatically chills anything it spreads across before evaporating, including most liquids if they are not in a sufficiently insulated container.
On a hit it deals 7 Frost damage and the target is Slowed 4 times.","A glass flask of Snowstorm contains a mix of reagents that react instantly when smashed on a surface and quickly leech heat from anything the chemicals touch as part of the reaction. The concoction results in a quick-acting mixture that dramatically chills anything it spreads across before evaporating, including most liquids if they are not in a sufficiently insulated container.",On a hit it deals 7 Frost damage and the target is Slowed 4 times.,OK
I034,Sunbeam,"A stabilized mixture of spiritually-energized materials that erupts suddenly when sufficiently disturbed.
On a hit it deals 8 Brilliant damage and the target gains 4 stacks of Vulnerable.",A stabilized mixture of spiritually-energized materials that erupts suddenly when sufficiently disturbed.,On a hit it deals 8 Brilliant damage and the target gains 4 stacks of Vulnerable.,OK
I035,Hellfire Bomb,"By combining extremely volatile reagents and suspending them in a total vacuum, a talented alchemist can create a veritable inferno in a nutshell.
Make an attack against all creatures adjacent to the target. On a hit it deals 8 Fire damage.","By combining extremely volatile reagents and suspending them in a total vacuum, a talented alchemist can create a veritable inferno in a nutshell.",Make an attack against all creatures adjacent to the target. On a hit it deals 8 Fire damage.,OK
I036,Thunderclap-in-a-Jar,"Originally a modification of the common Bottled Fire, after much work the recipe found enough distinction to be regarded as its own grenade, named the Thunderclap (in a jar) for the intense concussive blast that is produced when the container is shattered and the reagents mix. Rather than scorching its victims, the sheer force and metal fragments in the jar cause the bulk of the destruction.
Instead of attacking a target, choose a space within range of the Grenade. Make an attack against all creatures in or adjacent to the space. On a hit it deals 8 Physical damage, and the target gains two stacks each of Harried and Bleeding.","Originally a modification of the common Bottled Fire, after much work the recipe found enough distinction to be regarded as its own grenade, named the Thunderclap (in a jar) for the intense concussive blast that is produced when the container is shattered and the reagents mix. Rather than scorching its victims, the sheer force and metal fragments in the jar cause the bulk of the destruction.","Instead of attacking a target, choose a space within range of the Grenade. Make an attack against all creatures in or adjacent to the space. On a hit it deals 8 Physical damage, and the target gains two stacks each of Harried and Bleeding.",OK
I037,Energizing Brew,"Many civilizations have plants native to their climate which can be roasted, dried, pulverized, and otherwise prepared for making some manner of drink out of. These brews all have in common that they increase the drinker's attention, perception, and wakefulness, as well as being a cornerstone of many fast-breaking rituals.
When consumed, for 1 hour you have Good Luck on Reflex flips.","Many civilizations have plants native to their climate which can be roasted, dried, pulverized, and otherwise prepared for making some manner of drink out of. These brews all have in common that they increase the drinker's attention, perception, and wakefulness, as well as being a cornerstone of many fast-breaking rituals.","When consumed, for 1 hour you have Good Luck on Reflex flips.",OK
I038,Fortifying Concoction,"Frequently stocked in the supplies of anyone who might anticipate a fight, from mercenary companies to lone woodsmen, this ages-old recipe bolsters the body with a burst of energy and helps reduce any bruising or swelling.
When consumed, you gain 4 stacks of Protected.","Frequently stocked in the supplies of anyone who might anticipate a fight, from mercenary companies to lone woodsmen, this ages-old recipe bolsters the body with a burst of energy and helps reduce any bruising or swelling.","When consumed, you gain 4 stacks of Protected.",OK
I039,Elemental-Attuned Tincture,"This mixture creates a negative elemental current in the body of the imbiber which helps ground them and render them somewhat immune to harmful magic and other manifestations of a certain element.
When this Potion is created, choose Fire, Frost, Brilliant, or Shadow. When consumed, you gain [chosen type] Ward that lasts for 1 hour.
If you are hit with an attack that deals [chosen type] Damage, at the end of the encounter this effect expires.",This mixture creates a negative elemental current in the body of the imbiber which helps ground them and render them somewhat immune to harmful magic and other manifestations of a certain element.,"When this Potion is created, choose Fire, Frost, Brilliant, or Shadow. When consumed, you gain [chosen type] Ward that lasts for 1 hour.
If you are hit with an attack that deals [chosen type] Damage, at the end of the encounter this effect expires.",OK
I040,Essential Ointment,"Made as tiny jars filled with energized salves, vials of oils to be splashed on the face, and herbal pastes that are applied to the energetic centers of the body. Regardless of how it is constructed, these are designed to be quickly and easily applied to the user, causing their body to quickly metabolize energy from their surroundings.
When consumed, you draw a card.","Made as tiny jars filled with energized salves, vials of oils to be splashed on the face, and herbal pastes that are applied to the energetic centers of the body. Regardless of how it is constructed, these are designed to be quickly and easily applied to the user, causing their body to quickly metabolize energy from their surroundings.","When consumed, you draw a card.",OK
I041,Soldier's Salts,"These take a variety of different forms, known to be made as small pieces of rune-etched ceramic, tiny jars filled with energized salves, and vials of ointment to be splashed on the face. Regardless of how it is constructed, these are designed to be quickly and easily applied to the user and provide a quick burst of invigoration.
When consumed, you regain the use of any Encounter Technique level 2 or lower.","These take a variety of different forms, known to be made as small pieces of rune-etched ceramic, tiny jars filled with energized salves, and vials of ointment to be splashed on the face. Regardless of how it is constructed, these are designed to be quickly and easily applied to the user and provide a quick burst of invigoration.","When consumed, you regain the use of any Encounter Technique level 2 or lower.",OK
I042,Calming Brew,"When consumed, ignore the next 4 total stacks of Taunted and/or Frightened you would gain this encounter. If you already have stacks of either, remove them and count them against the total.",,"When consumed, ignore the next 4 total stacks of Taunted and/or Frightened you would gain this encounter. If you already have stacks of either, remove them and count them against the total.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I043,Healing Potion,"A staple of any true adventurer, healing potions contain a mix of specially prepared medicines that help the body resist trauma and shock and aid in blood clotting and other functions that are pretty useful to someone who has been stabbed.
When consumed, you heal 2 Health.","A staple of any true adventurer, healing potions contain a mix of specially prepared medicines that help the body resist trauma and shock and aid in blood clotting and other functions that are pretty useful to someone who has been stabbed.","When consumed, you heal 2 Health.",OK
I044,Liquid Charisma,"When consumed, for 1 hour you have Good Luck on all Presence, Persuasion, and Rapport flips.",,"When consumed, for 1 hour you have Good Luck on all Presence, Persuasion, and Rapport flips.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I045,Earthen Draught,"Distilling powerful concoctions related to the earth - medicinal bark from old trees, blood of strong predators - produces a syrupy elixir that reinforces one's vitality and strengthens their body against assault.
When consumed, for 1 hour, at the end of each of your turns, you gain enough stacks of Protected so that you have 2 stacks (before any other effects apply).","Distilling powerful concoctions related to the earth - medicinal bark from old trees, blood of strong predators - produces a syrupy elixir that reinforces one's vitality and strengthens their body against assault.","When consumed, for 1 hour, at the end of each of your turns, you gain enough stacks of Protected so that you have 2 stacks (before any other effects apply).",OK
I046,Fighter's Friend,"An extremely refined version of the popular Soldier's Salts, requiring rare and powerful materials to produce. Reserved for only the greatest of fighters.
When consumed, you regain the use of any Encounter Technique level 4 or lower.","An extremely refined version of the popular Soldier's Salts, requiring rare and powerful materials to produce. Reserved for only the greatest of fighters.","When consumed, you regain the use of any Encounter Technique level 4 or lower.",OK
I047,Swiftblade Vial,"When consumed, you are Hasted 5 times, and the next attack you make this encounter has Good Luck.",,"When consumed, you are Hasted 5 times, and the next attack you make this encounter has Good Luck.","NEEDS REVIEW — only one paragraph, couldn't guess a fluff/effects split"
I048,Insanity Potion,"While not the most descriptive name for a potion, it is nonetheless fitting as one may very well have to be mentally disturbed to consider voluntarily drinking it. That being said, the benefits of the Insanity Potion are to be considered, for while it does wreak havoc on a person's physical well-being it also bolsters their strength tremendously, and provided you have medical care for the after-effects it is usually survivable.
When consumed, for 1 hour you gain the following:
A +1 bonus to Speed
You may treat any card you flip as a Heart
Ignore any penalties for being Wounded, Crippled, or Slowed
You cannot heal any Health or gain any stacks of Protected","While not the most descriptive name for a potion, it is nonetheless fitting as one may very well have to be mentally disturbed to consider voluntarily drinking it. That being said, the benefits of the Insanity Potion are to be considered, for while it does wreak havoc on a person's physical well-being it also bolsters their strength tremendously, and provided you have medical care for the after-effects it is usually survivable.","When consumed, for 1 hour you gain the following:
A +1 bonus to Speed
You may treat any card you flip as a Heart
Ignore any penalties for being Wounded, Crippled, or Slowed
You cannot heal any Health or gain any stacks of Protected",OK
I049,Basic Poison,"A broad category encompassing a variety of lethal and particularly toxic poisons, which are quasi-legal at most but still popular among less scrupulous folk. A staggering number of sources can be ""refined"" to make poisons; cheaper doses simply use substances that are incompatible with the body such as oil, animal venom, and hazardous waste from magical experiments. More refined assassins, however, have even been known to summon minor demons just to render their blood into a pure poison of corruption. No matter what, one rule holds: don’t drink it.
Choose a Basic Poison; you make a dose of that poison with a Concentration of [3 + Level] and a Potency of [Level].","A broad category encompassing a variety of lethal and particularly toxic poisons, which are quasi-legal at most but still popular among less scrupulous folk. A staggering number of sources can be ""refined"" to make poisons; cheaper doses simply use substances that are incompatible with the body such as oil, animal venom, and hazardous waste from magical experiments. More refined assassins, however, have even been known to summon minor demons just to render their blood into a pure poison of corruption. No matter what, one rule holds: don’t drink it.",Choose a Basic Poison; you make a dose of that poison with a Concentration of [3 + Level] and a Potency of [Level].,OK
I050,Crippling Poison,"Rather than trying to kill the target outright, this poison is designed to cause wracking pains and muscle spasms that hinder the victim's movements.
An affected creature suffers [Potency] stacks of Crippled.","Rather than trying to kill the target outright, this poison is designed to cause wracking pains and muscle spasms that hinder the victim's movements.",An affected creature suffers [Potency] stacks of Crippled.,OK
I051,Bloody Poison,"A basic but very commonly used substance, designed to simply cause the victim as much harm as possible.
A target affected by this poison gains [twice its Potency] stacks of Bleeding. If the target ingested the poison, they instead gain [four times its Potency] stacks of Bleeding. Unlike other Poisons, these stacks expire normally.","A basic but very commonly used substance, designed to simply cause the victim as much harm as possible.","A target affected by this poison gains [twice its Potency] stacks of Bleeding. If the target ingested the poison, they instead gain [four times its Potency] stacks of Bleeding. Unlike other Poisons, these stacks expire normally.",OK
I052,Slowing Poison,"Frequently used by lawmen and bounty hunters, this poison saps the energy from the victim's limbs and makes their breath heavy in their lungs.
An affected creature suffers [Potency] stacks of Slowed.","Frequently used by lawmen and bounty hunters, this poison saps the energy from the victim's limbs and makes their breath heavy in their lungs.",An affected creature suffers [Potency] stacks of Slowed.,OK
I053,Necrotic Poison,"A particularly unsavory poison, as soon as it enters the victim's bloodstream they find their wounds almost impossible to close.
A target affected by this poison suffers [twice its Potency] stacks of Necrotic. While these stacks still don't expire as usual, 2 of these stacks expire each hour, and they can be removed through Necrotic's other usual rules.","A particularly unsavory poison, as soon as it enters the victim's bloodstream they find their wounds almost impossible to close.","A target affected by this poison suffers [twice its Potency] stacks of Necrotic. While these stacks still don't expire as usual, 2 of these stacks expire each hour, and they can be removed through Necrotic's other usual rules.",OK
I054,Vulnerability Poison,"Wracking the body with fever-like symptoms and clouding the mind similarly, this niche poison is used to render the victim susceptible to further poisons as well as dark hexes and other magicks.
An affected creature suffers [Potency] stacks of Vulnerable.","Wracking the body with fever-like symptoms and clouding the mind similarly, this niche poison is used to render the victim susceptible to further poisons as well as dark hexes and other magicks.",An affected creature suffers [Potency] stacks of Vulnerable.,OK
I055,Harrying Poison,"Favored by kidnappers and mercenaries who need to bring their targets in alive, this poison saps the strength from its victim and removes their ability to defend themselves.
An affected creature suffers [Potency] stacks of Harried.","Favored by kidnappers and mercenaries who need to bring their targets in alive, this poison saps the strength from its victim and removes their ability to defend themselves.",An affected creature suffers [Potency] stacks of Harried.,OK
