ID,Name,Category,Description (Fluff),Effects,Grants Technique,Supplement
B021,Night Vision,Wildfolk,,"You can see even in total darkness, although this doesn't help against anything that physically obscures vision such as smoke or fog.",,Base Game
B022,Scavenger,Wildfolk,,"You may eat any organic matter, regardless of how fresh or cooked it is, at no penalty. This does not protect you from any kind of Poison.",,Base Game
B023,Aerial Balance,Wildfolk,,"When you fall, you treat the distance as being 3 meters shorter.",,Base Game
B024,Predator,Wildfolk,You have claws or some other feature that makes your natural attacks more deadly.,"When your hands are empty, you may attack as though you were wielding a Two-Handed Light Melee weapon. This benefits from any Hands slot item that improves your Unarmed attacks, but does not otherwise count as an Unarmed weapon.",,Base Game
B025,Bloody Divination,Bloody Banner,,"Once per scene, a Bloody Banner Goblin who slays a foe with discernible anatomy can spend 10 minutes searching through the viscera and roll for the resulting benefit:
1. Sift 3 cards.
2. Discard a card and draw one. If the discarded card was a Heart, instead draw 2 cards.
3. Gain 2 stacks of Protected; these do not tick down over time as normal until either the next combat or you rest.
4. You have Good Luck on your next flip.",,Goblin Game
B026,Masters of Safety,Bloody Banner,"The better nutrition, safer conditions, and tradition of good training helps keep Bloody Banner Goblins (only slightly-disputed) lords of the area.","Once per day, regain the use of an encounter technique that is up to the highest level you have purchased.",,Goblin Game
B027,Improved Bite,Rockbiters,,"Rockbiters have a natural bite attack that counts as either a Heavy or Light 1H Melee Weapon (chosen at character creation). Incredibly, they can even use it to try and parry attacks like any held weapon. Their bite ignores 1 point of Physical Soak from armor, and deals double damage against inanimate objects.",,Goblin Game
B028,Hardy,Rockbiters,,Rockbiter get an additional Deep Health and don't get Bad Luck on flips from being Wounded.,,Goblin Game
B029,Cruelty,Black-Ear,,Black-Ear have Good Luck on flips against enemies that are Wounded.,,Goblin Game
B030,Numb,Black-Ear,"Black-Ear feel less emotions, except for rage, fear, and joy at the misfortune of others.","While still capable of positive feelings and cultivating relationships, they have Bad Luck on Masquerade, Performance, and Rapport flips and tend to be awkward at gatherings. The plus side is that they are harder to trick or provoke, so Flips against their Mental or Instinct Defense have Bad Luck.",,Goblin Game
B031,Poison Adaptation,Dampfoot,,"Dampfoot are immune to natural poisons and non-magical diseases. Any non-Goblin creature that bites or swallows a Dampfoot gets a Resilience flip made against their Body Defense by that Dampfoot. Failure means they must let go or spit out their victim, and receive that Dampfoot's Body score in stacks of Harried and Crippled. On a successful save they are merely Harried and Crippled once at the start of every round until they let go (or successfully eat their target). Dampfoot may use their saliva as poison on a weapon they are holding a number of times per day equal to their Body as part of an attack flip. It counts as Bloody Poison with a Potency of their Body score and Concentration of their Resilience pool.",,Goblin Game
B032,Expert Swimmer,Dampfoot,,"Dampfoot have a swim speed equal to 1/2 their movement (rounded up) and have Good Luck on Athletics flips related to swimming. They can open their eyes safely and painlessly in water, can see through cloudy water, and can hold their breath in it for 3x as long as other Goblins. Additionally Dampfoot get Good Luck when using Survival and Stealth in swamps.",,Goblin Game
B033,Blessed Fire,Firebug,,"Firebug using natural methods are able to start fires in all but the most difficult situations (intense blizzard, a flood) and succeed automatically on Survival Flips to start fires. Once per day a Firebug can regain the use of an Encounter Technique that deals Fire damage.",,Goblin Game
B034,Sacred Flame,Firebug,"Firebug worship fire and their dark God who blesses it, and only the most insane outcast would willingly extinguish a blaze without good cause.","They cannot conjure water unless they seek out the knowledge after character creation, a decision not to be made lightly. Firebug who maintain this covenant against extinguishing fires can have a damaging technique do fire damage instead of its original type, plus one point, once per day for each point of Essence. If they knowingly extinguish a fire, they lose the Blessed Fire ability and instead deal one less damage with Fire attacks for at least a day. They may regain their previous bonus if they atone, a deeply personal ritual that usually involves setting a fire somewhere else. Extinguishing themselves does not count against them, and they gain +1 to Dodge Defense against Fire attacks.",,Goblin Game
B035,Cave Adaption,Fardown,,"Fardown have perfect Darkvision with no range limit, but in bright daylight are blind outside a 20-tile range and get -1 to sight-based Flips. They can squeeze through spaces as tight as a foot across, and have a climb speed of half their movement (rounded up) on underground surfaces. They have Good Luck on Flips to Athletics (climbing) and Survival in caves. When in a cave, they are always able to discern north and how far down they are.",,Goblin Game
B036,Scent,Fardown,,"Fardown start with the Blindsight technique. This is an innate, natural ability. A Fardown can purchase this technique one more time and triple its effective range.",,Goblin Game
B037,Tree Scaling,Troll-Food,,Troll-Food have a climb speed of half their move speed (rounded up) when scaling trees or natural foliage. They have Good Luck on Athletics Flips related to climbing vegetation. Up in a tree or in dense foliage they gain Good Luck on Sneak Flips. They also have Good Luck on survival flips in woodlands.,,Goblin Game
B038,Scrap Trap,Troll-Food,Troll-Food goblins have to learn to make defenses with whatever is at hand to survive.,"They can use just about anything to craft crude defenses, and are assumed to have enough useful junk on hand to make them. They can create a trap that deals 1 Slowed per 2 points of Cunning (rounded up) and 1 Bleed to living enemies passing over them. These traps are visible to anyone and not hidden unless prepared and obscured beforehand. These traps are good for a single use and take a full round to craft, they may make a number of these per scene equal to 1 + the higher of their Cunning or Mind score.",,Goblin Game
