ID,Name,Prereqs (Full),Prereq Check (draft),Status
T102,Telepathic Link,"(Sorcery or Theurgy) 3, Rapport 2","(Sorcery|Theurgy):3,Rapport:2",OK
T103,Summon Earthen Golem,"(Sorcery or Theurgy) 5, Survival 4","(Sorcery|Theurgy):5,Survival:4",OK
T104,Spirit Blessing,Theurgy [Level] + 1,Theurgy:[Level]+1,OK
T105,Healing Magic,Theurgy [Level] + 1,Theurgy:[Level]+1,OK
T106,From the Brink of Death,Theurgy 2,Theurgy:2,OK
T107,Gust of Wind,"Theurgy 2, Survival 1","Theurgy:2,Survival:1",OK
T108,Beast Venom,"Theurgy 3, Survival 2","Theurgy:3,Survival:2",OK
T109,Land's Bounty,"Theurgy 3, Survival 2","Theurgy:3,Survival:2",OK
T110,Lifeline,Theurgy 3,Theurgy:3,OK
T111,Reckoning,Theurgy 3,Theurgy:3,OK
T112,Sculpt Stone,"Theurgy 3, Survival 2","Theurgy:3,Survival:2",OK
T113,Spectral Spiderwebs,"Theurgy 3, Survival 2","Theurgy:3,Survival:2",OK
T114,Summon Spectre,"Theurgy 3, Academics 2","Theurgy:3,Academics:2",OK
T115,Weatherworking,"Theurgy 3, Survival 2","Theurgy:3,Survival:2",OK
T116,Cloak of Awe,Theurgy 4,Theurgy:4,OK
T117,Cloak of Command,Theurgy 4,Theurgy:4,OK
T118,Earthquake,"Theurgy 5, Survival 4","Theurgy:5,Survival:4",OK
T119,Spiritual Intervention,"Theurgy 5, Sorcery 5","Theurgy:5,Sorcery:5",OK
T120,War Magic,Sorcery [Level + 1],Sorcery:[Level]+1,OK
T121,Force Missiles,Sorcery 2,Sorcery:2,OK
T122,Gainsay,"Sorcery 2, Insight 2","Sorcery:2,Insight:2",OK
T123,Wall of Shadows,"Sorcery 3, Resilience 2","Sorcery:3,Resilience:2",OK
T124,Warmage's Reserves,"Sorcery 3, Academics 2","Sorcery:3,Academics:2",OK
T125,Summon Elemental Warrior,Sorcery 4,Sorcery:4,OK
T126,Wall of Ice,Sorcery 4,Sorcery:4,OK
T127,Wall of Fire,Sorcery 5,Sorcery:5,OK
T128,Lawman's Hand,Medicine 2,Medicine:2,OK
T129,Disciple of the Flowing Hand,(Acrobatics or Brawl) 3,(Acrobatics|Brawl):3,OK
T130,Furious Rage,"Might 3, Resilience 2","Might:3,Resilience:2",OK
T131,Hand of Chaos,Insight 3,Insight:3,OK
T132,Indomitable Phalanx,"(Acrobatics or Brawl) 3, Insight 2","(Acrobatics|Brawl):3,Insight:2",OK
T133,Placeholder's Lengthy Ley-weaving,"(Sorcery, Meditation, or Theurgy) 3",(Sorcery|Meditation|Theurgy):3,OK
T134,Lion Style - Eternal Riposte,"(Brawl or Melee) 3, Insight 2","(Brawl|Melee):3,Insight:2",OK
T135,Shugen Style - Spirit Hands,"Brawl 3, Meditation 2","Brawl:3,Meditation:2",OK
T136,Tiger Style - Storm of Blades,"(Acrobatics, Brawl, or Melee) 3, Acrobatics 2","(Acrobatics|Brawl|Melee):3,Acrobatics:2",OK
T137,Eagle Eyes,(Acrobatics or Archery) 4,(Acrobatics|Archery):4,OK
T138,Follow Through,"(Brawl or Melee) 4, Might 3","(Brawl|Melee):4,Might:3",OK
T139,Inexhaustible Guardian,"Melee 4, Athletics 3","Melee:4,Athletics:3",OK
T140,Overchanneling,(Sorcery or Meditation) 4,(Sorcery|Meditation):4,OK
