ID,Name,Effects,Feature Budget (draft),Status
T023,Toughened Spirit,Increase your maximum Shallow Health by 5.,,NOT BUILDABLE
T024,Artisanal Training,"Each time you learn this, choose a creation School: Smithing, Carving, Tailoring, Jewelrymaking, Alchemy, or Cooking. You are trained in crafting using the chosen School.",,NOT BUILDABLE
T025,Extensive Background,"Each time you learn this, choose a new background from either the General list or your specific list (Settler or Wildfolk).",,NOT BUILDABLE
T026,Practiced Persona,"Each time you learn this, choose a new persona (fake identity; may not be a real person; must have standard appearance, occupation, habits, and background). You have Good Luck on flips to disguise yourself or act as your persona.",,NOT BUILDABLE
T027,Profession,"Each time you learn this, choose one profession: Apothecary, Artisan, Busker, Fisher, Gatherer, Grifter, Merchant, Sailor, Tactician, or Theologian. Each grants Good Luck on relevant flips. See rules for each option's specific benefit and prereq.",,NOT BUILDABLE
T028,Ventriloquy,"When using Masquerade to disguise your voice, you may instead make the flip as a Masquerade attack against the Insight Defense of all onlookers. Each target hit falls for the vocal disguise and believes it came from an object or space within twice [your Masquerade skill total] spaces. On a miss, target recognizes the inauthenticity but is unsure of its source.",,NOT BUILDABLE
T029,Air of Mystery,"While disguised, if someone sees through your disguise they cannot determine your actual identity, just that you're an imposter. Onlookers will not remember your involvement in any event unless you directly interacted with them memorably; even then they have Bad Luck on flips to draw conclusions.",,NOT BUILDABLE
T030,Animal Companion,"You train an animal, making it your Animal Companion. The animal must be willing/tamed; training usually takes a full day. Once official, it behaves as Summoned. You can only have one animal companion at a time; training a new one breaks the bond with the old.",,NOT BUILDABLE
T031,Animal Companion: Trick,"Your companion learns one trick: Civilized (manipulate objects like a small child), Determination (+1 max Shallow and Deep Health each), Trained (one Skill Total = [your Survival ST] - 2), Quick (+2 Speed, once only), Martial Training (learn a Level 1 Battle Maneuver), or Beast Feast [Encounter] (eat heart of downed enemy, heal 2 Health). Apply to whichever animal is your companion.",,NOT BUILDABLE
T032,Awaken Armament,Choose a Masterwork enhancement you know of Level X or lower. The target item gains that enhancement until you get a full night's rest. The enhancement must be one you could normally create.,,NOT BUILDABLE
T033,Hand of the Chirurgeon,Remove up to [half your Medicine Skill Total] stacks of Bleeding from the target.,,NOT BUILDABLE
T034,Legerdemain,"Picking a lock never takes more than 4 AP. You may treat any rigid object that fits in the keyhole as a lockpick. When you successfully steal through sleight of hand, onlookers have Bad Luck on flips to notice its absence for the encounter. When you fail to pick a pocket, neither victim nor onlookers know who is responsible.",,NOT BUILDABLE
T035,Mighty Mixologist,"When you attack with a damaging Grenade item of Level 3 or lower, it deals +1 damage. If your Body is lower than 5, you may treat it as 1 higher for Grenade attack range. Whenever you use a Poison created with Mixology, its Concentration becomes +[your Mixology Skill Total] if it would be lower.",,NOT BUILDABLE
T036,Patch Up,All targets who get a full night's rest immediately after being treated heal an extra Health. A creature can only benefit from this Technique once per rest.,,NOT BUILDABLE
T037,Placeholder's Alacritous Adaptation,"You regain the use of one Discipline, Martial, or Spell Encounter Technique. The regained Technique's Level must be lower than the total Levels of Techniques you expended as a cost.",,NOT BUILDABLE
T038,Practical Necromancy,"When creating an item, you may replace any Metal or Wood in its Base Materials with Bone; for such items you may use Carving instead of Smithing. If you know Raise Corpse, items you create this way may be animated as a Reanimated Corpse substitute, powered by your magic.",,NOT BUILDABLE
T039,Quick Draw,"It takes you 0 AP to retrieve or store an item, regardless of location, although it must still be within reach.",,NOT BUILDABLE
T040,Re-purpose Materials,"You may break down existing items into raw materials. Produces materials of Types matching the Base and Extra Materials of the item, split evenly (GM decides). If you created the item, you receive those exact material Types. All materials produced are of the item's Level.",,NOT BUILDABLE
T041,Scrapcraft,"You create a non-Masterwork item with Craft as its relevant Skill, whose School/Skill/recipe requirements you meet. All required materials must be within reach. The item stays together as long as you keep this Technique committed, then falls apart into the materials used.",,NOT BUILDABLE
T042,Shadow's Path,"You have Good Luck on Stealth checks to sneak into or out of places. In a group Stealth check, you may flip first; you may Gamble, gaining [Spades] extra successes. For each success, you may give an ally Good Luck on their Stealth flip. You may not benefit someone also using this Technique.",,NOT BUILDABLE
T043,Street Runner,"You have Good Luck on Streetwise flips to navigate and travel through settlements at least as large as a town. Once per day in an urban environment, you automatically find water for the party and food for [half your Streetwise Skill Total] people (must be consumed immediately; Level 1 Food equivalent).",,NOT BUILDABLE
T044,Wisdom of the Woods,"You have Good Luck when using Survival to Scout or Search outdoors, or when Assisting others with Survival. Others have Good Luck when Assisting on your Survival flips. If your Survival flip has at least one Heart in the pool, you recall an interesting fact relevant to the flip.",,NOT BUILDABLE
T045,Analyze Stance,"The next attack against the target's Dodge or Parry Defense made by you or someone you choose has Good Luck. Then, make an Academics attack against the target's Instinct Defense. If it hits, gain [Spades] Extra Successes, then learn one of the following per success: Parry/Dodge Defense and Harried stacks; Accuracy and Damage with wielded weapons; Physical Resist; Fire/Frost/Brilliant/Shadow Resists; Vital/Mental/Instinct Defenses and Vulnerable stacks.",,NOT BUILDABLE
T046,Artisan's Eye,"You understand all of the target item's statistics as though you had flipped a 13 to analyze it, including materials. If you meet the skill requirements to create the item, you permanently learn it as a recipe.",,NOT BUILDABLE
T047,Bespoke Masterpieces,You can use Masterwork items you personally created as base items when creating new Masterwork items. The item retains previous enhancements and gains the new one in addition. This increases the item's Level by that of the new enhancement; you may not raise an item's Level past 6 this way. You cannot give an item an enhancement it already has.,,NOT BUILDABLE
T048,Environmental Esoterica,"When using Survival to Scout or Search in the outdoors, you may treat your [NOTE: effects text is incomplete in source document — to be completed].",,NOT BUILDABLE
T049,Gather the Evidence,"Choose a subject to gain knowledge about. Make an Academics flip with Good Luck against a hidden difficulty. On success, you learn something useful about the subject. If something prevents you from gaining the information, you learn exactly what that obstacle is and how it relates to the topic.",,NOT BUILDABLE
T050,Optimize Blood,"For the next [half your Medicine Skill Total] Health the target would lose, instead they gain that many stacks of Bleeding. This effect lasts until the target gets a full night's rest.",,NOT BUILDABLE
T051,Preparation,"You retroactively reveal that you had made preparations useful in your current situation. These must be ordinary steps you could have plausibly taken previously. Examples: stashing supplies in a hidden cache, having sent a letter, having researched a topic. Preparations that cost Gold require you to pay that Gold now. GM decides validity.",,NOT BUILDABLE
T052,Vanish,"Make a Stealth attack against the Instinct Defense of each target. If it hits, the target cannot see you for 1 round or until you declare an attack against them. After this time you may hide as normal, with targets alerted to your likely presence.",,NOT BUILDABLE
T053,Bottomless Bottles,"You create items with a total Gold cost of no more than [4 times X], requiring no materials. Items must have Mixology as their Relevant Skill and you must meet all creation requirements. These items last until you get a full night's rest, then fade away.",,NOT BUILDABLE
T054,One of Many Faces,"Instantly assume a disguise with Masquerade as though you flipped a 13, but as a generic nondescript person. While in this disguise, you have Good Luck on Masquerade flips, and for 2 AP in a social contest you may make a Strategic statement using Masquerade.",,NOT BUILDABLE
T055,Pressure Point Revitalization,"Make a Medicine flip with difficulty 11. If you succeed, gain 1 extra success for each 2 you beat the difficulty by; X = total successes. Your target may discard up to X cards, then heals 1 Health for each card discarded, plus 1 Health for each unique suit among cards discarded.",,NOT BUILDABLE
T056,Preternatural Reflexes,"When a combat begins, if there would not normally be a surprise round (or you would not be included in one), instead there is a surprise round and you are part of it (3 AP only). You are always aware of attacks against your Dodge or Parry Defense.",,NOT BUILDABLE
T057,Social Maneuver,"Make a Strategic statement using Presence, Persuasion, or Rapport against a target in the social contest. When you learn this, choose features that apply (see Features sheet). Points: Level 1: 2 basic; Level 2: 4 basic; Level 3: 6 basic/advanced; Level 4: 8 basic/advanced.","1:2, 2:4, 3:6/adv, 4:8/adv",OK
T058,Challenge,"Make a Presence attack against the target's Mental Defense. If the attack hits, you Taunt the target 5 + [Hearts] times.",,NOT BUILDABLE
T059,Follower,"You gain a follower (GM-controlled but loyal). They: are trustworthy and communicate with you; have Skill Total 0 for all actions but can carry a small pack; cannot participate in combat and will flee from danger. If you part ways, you may gain a similar or new follower.",,NOT BUILDABLE
T060,Follower: Knack,"Choose one knack for your follower: Contraband Handler (hide small objects), Strong Shoulders (carry heavy loads), Medical Training (+1 Health healed per rest while tending), Squire (hand weapon to ally for 1 AP), Magical Adept (minor magic, once/encounter extend your Spell range by 5), Scavenger (find Level 1 material per day), Performer (earn info or social benefit while in civilization), Guild Member (do official business on your behalf).",,NOT BUILDABLE
T061,A Perfectly Good Explanation,"Whenever your party would gain Concessions in a social contest, as many times as you like you may discard a card and reduce those Concessions by 3 (or 4 if you discarded a Heart).",,NOT BUILDABLE
T062,Cry of Victory,Make a Presence attack against the Mental Defense of each target. You Frighten each target hit 2 + [Hearts] times.,,NOT BUILDABLE
T063,Favorite Face,"You never suffer penalties for being a new or unfamiliar face in social situations. If your first statement in a social contest uses Rapport, it has Good Luck. If your party wins a social contest and chooses Disrespect, neither the other party nor onlookers will view your party poorly — they view you with sympathy and may grant Good Luck.",,NOT BUILDABLE
T064,Heroic Inspiration,"Choose one of the following, [half your Performance Skill Total] times: a target is Protected twice (plus once per extra time targeted); remove a stack of Taunted or Frightened from a target; a target may adjust their position in turn order by 1.",,NOT BUILDABLE
T065,Rumormonger,"You have Good Luck on Streetwise flips to spread rumors and change opinions. Successful rumors spread to the immediate venue within an hour, then spread further each day. You also have Good Luck on flips to gather information about the rumor after the fact. Once per social contest, you can leverage the rumor for Good Luck twice on a social statement (if relevant and believed).",,NOT BUILDABLE
T066,Bolstering Refrain,Each target heals 1 Shallow Health.,,NOT BUILDABLE
T067,Exert Pressure,Make a Presence attack against the Mental Defense of each target. You taunt each target hit 3 + [Hearts] times.,,NOT BUILDABLE
T068,Dominate Mind,"Make a Strategic statement using Theurgy instead of the usual Skill. If the statement succeeds and your party ultimately wins the social contest, that person is dominated for the rest of the current encounter. At the start of each subsequent encounter you may Pitch a card to extend the effect. While dominated, the person treats anything you say as from a close trusted friend and will follow reasonable requests. Once the effect ends, they believe they acted of their own free will.",,NOT BUILDABLE
T069,Raise Spirits,"You may always use Performance to Assist an ally (even when it makes little sense), with Good Luck on the flip. For 1 AP as an interrupt when an ally within [Performance Skill Total] meters declares an attack, you may give them Good Luck on the attack.",,NOT BUILDABLE
T070,Rally to Victory,"Each target Sifts X cards (X = [half your Performance Skill Total]), then discards up to X cards, then draws a card for each one discarded.",,NOT BUILDABLE
T071,The Gatekeeper,Make a Presence attack against the Mental Defense of each target. You Taunt each target hit an infinite number of times. These stacks are removed at the end of the encounter.,,NOT BUILDABLE
T072,Battle Maneuver,"Make a weapon attack. When you learn this, choose features that apply to the attack (see Features sheet). Points: Level 1: 3 basic; Level 2: 6 basic; Level 3: 9 basic/advanced; Level 4: 12 basic/advanced.","1:3, 2:6, 3:9/adv, 4:12/adv",OK
T073,Bladeslinging,"You may change how you wield a close-range weapon (0 AP, like drawing/sheathing). Wielding a one-handed weapon with two hands makes it two-handed (+1 damage). Wielding a two-handed weapon one-handed makes it one-handed (-1 damage).",,NOT BUILDABLE
T074,Feint,"Make a weapon attack against the target's Instinct Defense. Instead of normal effects, if it hits then the target is Harried 3 + [Diamonds] times.",,NOT BUILDABLE
T075,Magehunter,"Make a weapon attack against the target. You may use a Technique instead, as long as it has you make a weapon attack against the target and takes no more than 2 AP to use.",,NOT BUILDABLE
T076,Parting Shot,"Make an attack with a close-range weapon against the target. You may use a Technique instead, as long as it has you make a weapon attack with a close-range weapon against the target and takes no more than 2 AP.",,NOT BUILDABLE
T077,Blinkstep,Shift up to [half your Acrobatics Skill Total] meters.,,NOT BUILDABLE
T078,Perfect Strike,"You have Good Luck on the weapon attack, then choose one: have Good Luck a second time on the attack; or add the discarded card to the attack's suit pool.",,NOT BUILDABLE
T079,Cloak and Dagger,"Make a Stealth attack against the Instinct Defense of a target of the weapon attack (Good Luck if you discarded a Spade). If it hits, that target is unaware of the attack. You may not use this against a target more than once per attack.",,NOT BUILDABLE
T080,Shugen Style - Spirit Bolt,"Make a Meditation attack against the target's Dodge Defense. If the attack hits, it deals 3 + [Mind] Brilliant damage.",,NOT BUILDABLE
T081,Bear Style - Boulder Toss,"End the grapple and throw the target up to [half your Might Skill Total] meters in a straight line. If thrown into a sturdy object, the target strikes it (3 + [your Body] Physical damage to both). If thrown through a creature's space, make a Might attack against that creature's Dodge; if it hits they are struck for the same damage. Target lands in front of the obstacle.",,NOT BUILDABLE
T082,Channel Ki,Regain the use of an Encounter Technique with a Level of X or less.,,NOT BUILDABLE
T083,Demon Style - Plague Fist,"Make an Unarmed weapon attack which deals its damage as Shadow. If the attack hits, before damage is dealt, the target gains [half your Meditation Skill Total] + [Spades] stacks of Necrotic, then [half your Meditation Skill Total] + [Diamonds] stacks of Vulnerable.",,NOT BUILDABLE
T084,Ignore Pain,Remove up to [half your Meditation Skill Total] total stacks of Crippled and/or Slowed from yourself.,,NOT BUILDABLE
T085,Pranic Nourishment,"You only need to meditate for half an hour to get a full night's rest, and heal an extra 1 Health per rest. You do not need to eat or drink. You may eat almost anything safely. Effectively immune to ingested poisons; does not prevent intoxication but prevents extreme harmful effects like alcohol poisoning.",,NOT BUILDABLE
T086,Shugen Style - Iron Skin,You gain [half your Meditation Skill Total] stacks of Protected.,,NOT BUILDABLE
T087,Shugen Style - Through the Void,"Teleport to any empty space adjacent to the target. You may then make a Meditation attack against the target's Mental Defense; if it hits, the target Teleports into the space you were originally in.",,NOT BUILDABLE
T088,Snake Style - Heelbiter,"Make an Unarmed weapon attack against that creature. If it hits, the creature does not move or is not Pushed; their movement for that action or effect is Countered.",,NOT BUILDABLE
T089,Snake Style - Chainbreaker,"Make an Unarmed weapon attack flip; its result becomes X. Your Parry Defense against the attack becomes X. If you Parry it, the attack is instead made against the target you chose as though it had a flip result of X, then resolved normally.",,NOT BUILDABLE
T090,Corrupted Blood,"Choose Bloody, Necrotic, Vulnerability, or Psychosis Poison; create a fresh dose with Concentration +X and Potency [half X] (X = your Meditation Skill Total). Extra +1 Potency if matching suit was Pitched (Clubs/Bloody, Spades/Necrotic, Diamonds/Vulnerability, Hearts/Psychosis). Spend 1 AP to coat a weapon instead. You are immune to this poison. After a full rest, the poison loses potency.",,NOT BUILDABLE
T091,Shugen Style - Fist of the Third Dragon,"Make a Meditation attack against each target's Mental Defense. The attack deals 1 + [Mind] Brilliant damage. If it hits, you Frighten the target 3 + [Hearts] times and Slow the target 3 + [Spades] times.",,NOT BUILDABLE
T092,Snake Style - Turn the Tables,"You use the target as a shield until the grapple ends. You may Parry with them as a Brawl weapon (Defense +0). If you successfully Parry an attack with the target, the attack instead targets their Parry Defense and is resolved accordingly.",,NOT BUILDABLE
T093,Harmonious Mending,"Do each in order: 1. Reduce effects of each poison as though X hours passed. 2. Heal X + [Hearts discarded] Health. 3. Remove a stack of Bleeding per Club discarded, Necrotic per Spade, Vulnerable per Diamond, and Frightened or Taunted per Heart discarded.",,NOT BUILDABLE
T094,Conjure Armament,"Conjure up to X weapons, armor, or ammunition of a type you choose. Functions as regular equipment; lasts until dismissed. You may have no more than X conjured (X = times you know this Spell). When declaring an attack, you may cast this as part of that action (0 extra AP) to conjure a weapon for that attack only.",,NOT BUILDABLE
T095,Placeholder's Tender Telekinesis,"Conjure a magical force to move the target object(s), allowing manipulation up to [your Sorcery or Theurgy Skill Total] meters. Complex use costs 1 extra AP and requires relevant Skill flips. May not be used to attack. If you stop casting or spend a turn without casting, objects fall.",,NOT BUILDABLE
T096,Placeholder's Wizardly Witchlight,"Create a flame that fits in your empty hand, casting up to torchlight in any color you choose. Gently warm to your touch; affects others as a normal flame. Lasts until you use the hand, lose consciousness, or dismiss it. You may make it ethereal (only you see it) at will; spend 1 AP to toggle.",,NOT BUILDABLE
T097,Shadow Jaunt,You Teleport up to [Sorcery or Theurgy Skill Total] meters.,,NOT BUILDABLE
T098,Raise Corpse,"You Summon the target remains as a Reanimated Corpse. You may control up to [Mind] corpses at a time; if you exceed this limit, the oldest corpse is de-animated. Larger/smaller corpses count proportionally toward your limit.",,NOT BUILDABLE
T099,Ritual Magic,"Whenever you could discard cards for a cost or effect of one of your Spells, a willing ally within [Sorcery or Theurgy Skill Total] meters may discard any number of those cards instead of you. Treat those cards as though you had discarded them yourself.",,NOT BUILDABLE
T100,Spellblade,Choose one option then make a weapon attack. General options: range +[6×X] meters; Push [6×X]+[Spades] meters; target gains [3×X]+[Clubs] Bleeding; you gain [3×X]+1+[Hearts] Fire/Frost/Shadow Ward. Sorcery options: target Slowed [3×X]+[Spades]; Vulnerable [3×X]+[Diamonds]; Necrotic [3×X]+[Diamonds]. Theurgy options: Shift [6×X]+[Clubs] meters; Protected [3×X]+1+[Spades]; target Crippled [3×X]+[Clubs].,,NOT BUILDABLE
T101,Summon Slime,"You create a Summoned Slime in the target space, lasting for the encounter. When cast, you may commit this Spell; if you do, the Slime lasts as long as you keep this Spell committed after the scene ends.",,NOT BUILDABLE
T102,Telepathic Link,All targets are linked and may communicate mentally at the speed of thought. Allies farther than [Mind] km from you cannot hear or speak through the link. You can maintain up to X different links (X = times you know this Spell). Each link lasts until dismissed or you fall unconscious.,,NOT BUILDABLE
T103,Summon Earthen Golem,"You Summon an Earthen Golem in the target space, lasting for the encounter. When cast, you may commit this Spell; if you do, the Golem lasts as long as you keep this Spell committed or until you get a full night's rest.",,NOT BUILDABLE
T104,Spirit Blessing,"When you learn this, choose features that apply to the Spell (see Features sheet). Points: Level 1: 3 basic; Level 2: 4 basic; Level 3: 5 basic/advanced; Level 4: 6 basic/advanced.","1:3, 2:4, 3:5/adv, 4:6/adv",OK
T105,Healing Magic,"The target heals 1 Shallow Health, plus an extra Shallow Health for each Heart discarded. When you learn this, choose features that apply to the Spell (see Features sheet). Points: Level 1: 1 basic; Level 2: 4 basic; Level 3: 8 basic/advanced; Level 4: 11 basic/advanced.","1:1, 2:4, 3:8/adv, 4:11/adv",OK
T106,From the Brink of Death,Your target heals 1 Deep Health.,,NOT BUILDABLE
T107,Gust of Wind,Make a Theurgy spell attack against the Dodge Defense of each target. Each target hit is Pushed back [twice your Mind] + [Spades] meters.,,NOT BUILDABLE
T108,Beast Venom,"Choose Crippling, Slowing, or Psychosis Poison. Make a Theurgy spell attack against the target's Vital Defense. If it hits, the target is affected by that Poison with Potency 3. Crippling gains +[Clubs] Potency, Slowing +[Spades], Psychosis +[Hearts].",,NOT BUILDABLE
T109,Land's Bounty,"All plant life in target spaces grows as though for an entire season. In most climates, affected terrain has [Mind] level of Difficult Terrain and additional effects may apply.",,NOT BUILDABLE
T110,Lifeline,"The target is linked to you for the rest of the encounter. While linked, if the target would lose Health, instead you lose that much Health (target still suffers other effects). You may end the link at any time; it ends if you become Downed/incapacitated. When cast, you may commit it to make the link last until you uncommit.",,NOT BUILDABLE
T111,Reckoning,"Make a Theurgy spell attack against the target's Mental Defense. If it hits, they are Crippled 5 + [Clubs] times.",,NOT BUILDABLE
T112,Sculpt Stone,"You move earth into or out of the target spaces. A 1-meter barricade provides Light Cover; 2 meters provides Heavy or Total Cover. If you spend 10 minutes casting, it is not expended and you can shape the earth into walls, pillars, sculptures, or other structures (limited by Craft Skill Total for complex shapes).",,NOT BUILDABLE
T113,Spectral Spiderwebs,"Make a Theurgy spell attack against each target's Dodge Defense. If the attack hits, the target is Slowed 4 + [Spades] times. Discarded cards are counted in the attack's suit pool.",,NOT BUILDABLE
T114,Summon Spectre,"You Summon a Spectre in the target space, lasting for the encounter. When cast, you may commit this Spell; if you do, the Spectre lasts as long as you keep this Spell committed.",,NOT BUILDABLE
T115,Weatherworking,"Change weather of the target area starting 3 rounds later, lasting for the encounter. Make a Theurgy flip; difficulty based on desired power: Minor (Diff 9): light rain/wind; Moderate (Diff 13): fog, thick clouds, Light Cover; Major (Diff 17): extreme effects, Heavy Cover, terrain alteration. Each Extra Success: expand area by [Mind] km or extend duration by 1 hour.",,NOT BUILDABLE
T116,Cloak of Awe,Make a Theurgy spell attack against the Mental Defense of each enemy within 3 meters of the target. The target Frightens each creature hit 3 + [Hearts] times.,,NOT BUILDABLE
T117,Cloak of Command,Make a Theurgy spell attack against the Mental Defense of each enemy within 3 meters of the target. The target Taunts each creature hit 3 + [Hearts] times.,,NOT BUILDABLE
T118,Earthquake,"Create powerful tremors lasting for the encounter. All affected terrain has 1 level of Difficult Terrain. Any creature in the area when the Spell begins, moves/is Pushed into it, or ends their turn there is Crippled twice and Harried twice. At encounter's end, structures and terrain may suffer permanent damage.",,NOT BUILDABLE
T119,Spiritual Intervention,Choose another Theurgy Spell you know with Level no greater than 4 and taking no more than 2 AP to cast. This Spell has the same effects as that Spell; if that Spell has costs you must also pay them; that Spell is not expended.,,NOT BUILDABLE
T120,War Magic,"Make a Sorcery spell attack against the target's Defense (Dodge or Vital, chosen when you learn this). If it hits, it deals 2 + [your Mind] Fire damage. When you learn this, choose features that apply (see Features sheet). Points: Level 1: 1 basic; Level 2: 3 basic; Level 3: 4 basic/advanced; Level 4: 6 basic/advanced.","1:1, 2:3, 3:4/adv, 4:6/adv",OK
T121,Force Missiles,Make a Sorcery spell attack against the target's Dodge or Parry Defense. The spell attack deals 3 + [Mind] Physical damage.,,NOT BUILDABLE
T122,Gainsay,Cast a Sorcery Spell against the target. The Spell cannot take more than 2 AP to cast.,,NOT BUILDABLE
T123,Wall of Shadows,"You summon a wall of swirling shadows for the scene. Creatures cannot see through the wall or anything within it, but it is not solid. Attacks into or through the wall treat it as Heavy Cover.",,NOT BUILDABLE
T124,Warmage's Reserves,Regain the use of a Sorcery Spell Encounter Technique with Level [X + 1] or less. X is increased by 1 for each Club discarded to this Technique.,,NOT BUILDABLE
T125,Summon Elemental Warrior,"You Summon an Elemental Warrior in the target space, lasting for the encounter. When cast, you may commit this Spell; if you do, the Elemental lasts as long as you keep this Spell committed.",,NOT BUILDABLE
T126,Wall of Ice,"You summon a wall of ice that lasts for the encounter. Creatures that would be in a space the wall occupies are moved to the nearest unoccupied adjacent space. Each space of wall has 4 Health and [Mind] Soak against all damage except Fire. When a space loses all Health, that section is destroyed.",,NOT BUILDABLE
T127,Wall of Fire,"You summon a wall of fire lasting for the scene. Creatures in the area when it begins may spend 1 AP (interrupt) to Shift 1 meter. Anyone in the area when the wall appears, moves/is Pushed into the area, or ends their turn there takes 3 + [your Mind] Fire damage.",,NOT BUILDABLE
T128,Lawman's Hand,You do not suffer Bad Luck as usual for making non-lethal attacks.,,NOT BUILDABLE
T129,Disciple of the Flowing Hand,Attacks against your Dodge or Parry Defense have Bad Luck.,,NOT BUILDABLE
T130,Furious Rage,"While in this Stance: You may not Parry. If a target Parries or is hit by one of your attacks, they gain a stack of Bleeding. Ignore any stacks of Taunted or Frightened you have. Ignore any penalties from being Wounded.",,NOT BUILDABLE
T131,Hand of Chaos,"Whenever you make an attack, Sift 1 card and add its suit to the pool.",,NOT BUILDABLE
T132,Indomitable Phalanx,"At all times, you may ignore up to two stacks of Harried you have.",,NOT BUILDABLE
T133,Placeholder's Lengthy Ley-weaving,Your Spells and non-weapon-attack Disciplines have their Ranges increased by 3 meters.,,NOT BUILDABLE
T134,Lion Style - Eternal Riposte,"As an Interrupt when you Parry an attack, choose one: (a) For 0 AP, make a weapon attack against the attacker. (b) For 1 AP, use a Technique that takes no more than 2 AP and has you make a weapon attack against the attacker but no other targets.",,NOT BUILDABLE
T135,Shugen Style - Spirit Hands,"If your Unarmed weapon attacks would deal Physical damage, they instead deal it as Brilliant damage.",,NOT BUILDABLE
T136,Tiger Style - Storm of Blades,"Once per round immediately after you make an attack with one of your weapons (before anything else), you may spend 1 AP to make an identical attack with your other weapon, applying any ability (but not weapon) effects from the initial attack.",,NOT BUILDABLE
T137,Eagle Eyes,"Whenever you take an action involving one or more attacks with a ranged weapon, you may spend an extra 1 AP. If you do, those attacks have Good Luck twice.",,NOT BUILDABLE
T138,Follow Through,"When one of your weapon attacks with a two-handed close-range weapon Downs a creature, you may immediately make an attack with that weapon against another creature next to the initial target.",,NOT BUILDABLE
T139,Inexhaustible Guardian,"Whenever you Parry an enemy's attack, gain 1 stack of Protected.",,NOT BUILDABLE
T140,Overchanneling,Your damaging spell attacks and non-weapon discipline attacks deal +1 damage. You may not Parry.,,NOT BUILDABLE
