Name,Level,Slots,Role,PrimaryDef,SecondaryDef,SecondaryDef2,Action,Armor,BattleTactic,FightingStyle,Abilities,Roster,Archetype,DamageBonus,AccuracyBonus,DefenseBonus,ParryTier,DodgeTier,BodilyTier,MentalTier,VigilantTier,AttackTier,HealthBonus,Notes
Generic Level 2 Melee Fighter,2,1,None,,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Neutral,,,,,,,,,,,"No Role or Defense-tier skew on purpose - a neutral reference point for item-balancing checks, not tuned for the win-rate grid"
Generic Level 2 Power-Attack Fighter,2,1,Bruiser,,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Power-Attack,,,,,,,,,,,"Bruiser role for a ""close to barbarian, not fully"" power-attack lean, still no Defense-tier pick - reference build for item-balancing checks"
Generic Level 2 Max-Damage Fighter,2,1,Striker,,,,Offensive Melee,Light,Hit Whatever,Guarded,Powerful Weapon,FALSE,Max-Damage,,,,,,,,,,,"Striker Role (accuracy+damage) plus the Powerful Weapon ability (+1 more damage, -1 accuracy/-1 Parry) - picks every damage lever this simulator has wired, at the cost of accuracy and Parry"
Generic Level 2 Ranged Caster,2,1,Strategist,,,,Ranged Spell,Light,Kiting,Guarded,Powerful Spell,FALSE,Ranged Caster,,,,,,,,,,,"Strategist Role (accuracy+Bodily+Mental) plus Powerful Spell (+1 damage, own Parry set to -99/unusable) - a backline spellcaster that's given up on melee defense entirely. Kiting only actually does anything in movement mode (run_fight(..., movement=True)) - ignored otherwise, same as every BattleTactic value the non-movement sim can't act on."
Generic Level 2 Tank,2,1,Tank,,,,Defensive Melee,Heavy,Hit Whatever,Guarded,Durable;Enhanced Health,FALSE,Tank,,,,,,,,,,,"Tank Role (the most defensively-loaded Role) plus Heavy Armor, Durable (Protected regen), and Enhanced Health (+3 HP) - reads as a real wall on purpose, representing what a party would have to specifically prioritize focusing down"
Generic Level 3 Melee Fighter,3,1,None,,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Neutral,,,,,,,,,,,"No Role or Defense-tier skew on purpose - a neutral reference point for item-balancing checks, not tuned for the win-rate grid"
Generic Level 3 Power-Attack Fighter,3,1,Bruiser,,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Power-Attack,,,,,,,,,,,"Bruiser role for a ""close to barbarian, not fully"" power-attack lean, still no Defense-tier pick - reference build for item-balancing checks"
Generic Level 3 Max-Damage Fighter,3,1,Striker,,,,Offensive Melee,Light,Hit Whatever,Guarded,Powerful Weapon,FALSE,Max-Damage,,,,,,,,,,,"Striker Role (accuracy+damage) plus the Powerful Weapon ability (+1 more damage, -1 accuracy/-1 Parry) - picks every damage lever this simulator has wired, at the cost of accuracy and Parry"
Generic Level 3 Ranged Caster,3,1,Strategist,,,,Ranged Spell,Light,Kiting,Guarded,Powerful Spell,FALSE,Ranged Caster,,,,,,,,,,,"Strategist Role (accuracy+Bodily+Mental) plus Powerful Spell (+1 damage, own Parry set to -99/unusable) - a backline spellcaster that's given up on melee defense entirely. Kiting only actually does anything in movement mode (run_fight(..., movement=True)) - ignored otherwise, same as every BattleTactic value the non-movement sim can't act on."
Generic Level 3 Tank,3,1,Tank,,,,Defensive Melee,Heavy,Hit Whatever,Guarded,Durable;Enhanced Health,FALSE,Tank,,,,,,,,,,,"Tank Role (the most defensively-loaded Role) plus Heavy Armor, Durable (Protected regen), and Enhanced Health (+3 HP) - reads as a real wall on purpose, representing what a party would have to specifically prioritize focusing down"
Generic Level 4 Melee Fighter,4,1,None,,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Neutral,,,,,,,,,,,"No Role or Defense-tier skew on purpose - a neutral reference point for item-balancing checks, not tuned for the win-rate grid"
Generic Level 4 Power-Attack Fighter,4,1,Bruiser,,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Power-Attack,,,,,,,,,,,"Bruiser role for a ""close to barbarian, not fully"" power-attack lean, still no Defense-tier pick - reference build for item-balancing checks"
Generic Level 4 Max-Damage Fighter,4,1,Striker,,,,Offensive Melee,Light,Hit Whatever,Guarded,Powerful Weapon,FALSE,Max-Damage,,,,,,,,,,,"Striker Role (accuracy+damage) plus the Powerful Weapon ability (+1 more damage, -1 accuracy/-1 Parry) - picks every damage lever this simulator has wired, at the cost of accuracy and Parry"
Generic Level 4 Ranged Caster,4,1,Strategist,,,,Ranged Spell,Light,Kiting,Guarded,Powerful Spell,FALSE,Ranged Caster,,,,,,,,,,,"Strategist Role (accuracy+Bodily+Mental) plus Powerful Spell (+1 damage, own Parry set to -99/unusable) - a backline spellcaster that's given up on melee defense entirely. Kiting only actually does anything in movement mode (run_fight(..., movement=True)) - ignored otherwise, same as every BattleTactic value the non-movement sim can't act on."
Generic Level 4 Tank,4,1,Tank,,,,Defensive Melee,Heavy,Hit Whatever,Guarded,Durable;Enhanced Health,FALSE,Tank,,,,,,,,,,,"Tank Role (the most defensively-loaded Role) plus Heavy Armor, Durable (Protected regen), and Enhanced Health (+3 HP) - reads as a real wall on purpose, representing what a party would have to specifically prioritize focusing down"
Generic Level 5 Melee Fighter,5,1,None,,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Neutral,,,,,,,,,,,"No Role or Defense-tier skew on purpose - a neutral reference point for item-balancing checks, not tuned for the win-rate grid"
Generic Level 5 Power-Attack Fighter,5,1,Bruiser,,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Power-Attack,,,,,,,,,,,"Bruiser role for a ""close to barbarian, not fully"" power-attack lean, still no Defense-tier pick - reference build for item-balancing checks"
Generic Level 5 Max-Damage Fighter,5,1,Striker,,,,Offensive Melee,Light,Hit Whatever,Guarded,Powerful Weapon,FALSE,Max-Damage,,,,,,,,,,,"Striker Role (accuracy+damage) plus the Powerful Weapon ability (+1 more damage, -1 accuracy/-1 Parry) - picks every damage lever this simulator has wired, at the cost of accuracy and Parry"
Generic Level 5 Ranged Caster,5,1,Strategist,,,,Ranged Spell,Light,Kiting,Guarded,Powerful Spell,FALSE,Ranged Caster,,,,,,,,,,,"Strategist Role (accuracy+Bodily+Mental) plus Powerful Spell (+1 damage, own Parry set to -99/unusable) - a backline spellcaster that's given up on melee defense entirely. Kiting only actually does anything in movement mode (run_fight(..., movement=True)) - ignored otherwise, same as every BattleTactic value the non-movement sim can't act on."
Generic Level 5 Tank,5,1,Tank,,,,Defensive Melee,Heavy,Hit Whatever,Guarded,Durable;Enhanced Health,FALSE,Tank,,,,,,,,,,,"Tank Role (the most defensively-loaded Role) plus Heavy Armor, Durable (Protected regen), and Enhanced Health (+3 HP) - reads as a real wall on purpose, representing what a party would have to specifically prioritize focusing down"
Generic Level 1 Minion,1,0.5,None,,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Minion,,,,,,,,,,,"0.5 Slots - a horde/swarm touchstone for sample_enemies.build_encounter's Slots composition (see its own docstring): 'one slot per PC' is the default encounter budget, so two of these plus something bigger, or four alone, fill the same 2-slot share a single standard enemy would. Same Neutral (no Role/Defense-tier skew) shape as the Generic Fighter archetype, just at half Slots - tunables.SLOT_MULTIPLIER's own 1/3 Health scaling (not 1/2) is the whole point of testing this, see ENEMY_ENCOUNTER_DESIGN.md's 'Health scales non-linearly' section"
Generic Level 2 Minion,2,0.5,None,,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Minion,,,,,,,,,,,0.5 Slots - see Generic Level 1 Minion's own Notes for what this archetype is for
Generic Level 3 Minion,3,0.5,None,,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Minion,,,,,,,,,,,0.5 Slots - see Generic Level 1 Minion's own Notes for what this archetype is for
Generic Level 4 Minion,4,0.5,None,,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Minion,,,,,,,,,,,0.5 Slots - see Generic Level 1 Minion's own Notes for what this archetype is for
Generic Level 5 Minion,5,0.5,None,,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Minion,,,,,,,,,,,0.5 Slots - see Generic Level 1 Minion's own Notes for what this archetype is for
Hedge Knight,1,1,,,,,Defensive Melee,Light,Hit Whatever,Guarded,Durable,FALSE,Mixed-Style,,,,Primary,Poor,Secondary,Poor,,Secondary,2,"Shield-wall type - Guarded's own stand-still Bad Luck bonus plus Durable's Protected regen make it a slow, reliable damage-soak: only 1 attack a turn, but consistently hard to crack rather than a burst threat. Drafted alongside 4 other Level 1 archetypes specifically to mix up Fighting Styles (not every enemy on Flurry) - see design/enemy_sim/README.md and combat_sim.py's own docstring. Built with enemy_builder_pcstyle.py's real-PC-formula construction - Defense = 8 + Skill Total (design/ENEMY_ENCOUNTER_DESIGN.md's own validated poor/secondary/primary table, the designer's spreadsheet baseline), Damage = a weapon-style base + governing Stat, Resist = Essence alone (no longer sharing a number with Damage) - see that file's own module docstring for the full derivation. ParryTier/DodgeTier/BodilyTier/MentalTier/AttackTier (this row) replace the old Role/PrimaryDef/SecondaryDef/DamageBonus/AccuracyBonus/DefenseBonus columns for this row (left blank - unused by this construction method). HealthBonus=2 (Health 12 at Level 1, up from the real Baseline-party's own 10) is the one active retune knob, landed on after re-checking the whole calibration against the real drafted party (Hilde/Browndog/Carrick/Sable, not the smoothed generic one) and the party's own base targeting strategy (focus fire on whoever's hurt worst, then whichever enemy the whole party's collectively closest to - tactics.target_focus_wounded) once Harried (glossary.md - -1 Dodge/Parry per stack, gained by anyone who defends with Parry or Dodge, cleared at their own turn end) and both of those landed this same session. With this row's own actual Abilities (kept as-is, not the Powerful Weapon/Spell standin used to sweep the retune itself): win~99%, ~5.6 rounds (sd~1.6 - noticeably tighter than any earlier candidate this session), ~72% party Health remaining on a win - see design/enemy_sim/README.md's own entry for the full sweep and why Powerful Weapon/Spell reads as the reference point to eventually rebalance Durable/Strike (Vulnerable)/Poison (Bleeding) against, not a change to what actually ships yet."
Marsh Archer,1,1,,,,,Ranged Weapon,Light,Assassin,Aimed Shot,Strike (Vulnerable),FALSE,Mixed-Style,,,,Secondary,Primary,Poor,Poor,,Primary,2,"The 'single precise shot' archer, deliberately NOT a double-tapper - Aimed Shot caps at 1 attack (Good Luck instead of a 2nd swing), so she can't burst a PC down in one turn the way a Ranged Weapon + Flurry archer could. Assassin targeting (goes for whoever's already hurt worst) instead of closest/first. Built with enemy_builder_pcstyle.py's real-PC-formula construction - Defense = 8 + Skill Total (design/ENEMY_ENCOUNTER_DESIGN.md's own validated poor/secondary/primary table, the designer's spreadsheet baseline), Damage = a weapon-style base + governing Stat, Resist = Essence alone (no longer sharing a number with Damage) - see that file's own module docstring for the full derivation. ParryTier/DodgeTier/BodilyTier/MentalTier/AttackTier (this row) replace the old Role/PrimaryDef/SecondaryDef/DamageBonus/AccuracyBonus/DefenseBonus columns for this row (left blank - unused by this construction method). HealthBonus=2 (Health 12 at Level 1, up from the real Baseline-party's own 10) is the one active retune knob, landed on after re-checking the whole calibration against the real drafted party (Hilde/Browndog/Carrick/Sable, not the smoothed generic one) and the party's own base targeting strategy (focus fire on whoever's hurt worst, then whichever enemy the whole party's collectively closest to - tactics.target_focus_wounded) once Harried (glossary.md - -1 Dodge/Parry per stack, gained by anyone who defends with Parry or Dodge, cleared at their own turn end) and both of those landed this same session. With this row's own actual Abilities (kept as-is, not the Powerful Weapon/Spell standin used to sweep the retune itself): win~99%, ~5.6 rounds (sd~1.6 - noticeably tighter than any earlier candidate this session), ~72% party Health remaining on a win - see design/enemy_sim/README.md's own entry for the full sweep and why Powerful Weapon/Spell reads as the reference point to eventually rebalance Durable/Strike (Vulnerable)/Poison (Bleeding) against, not a change to what actually ships yet."
Skulking Footpad,1,1,,,,,Offensive Melee,Light,Assassin,Skirmisher,Poison (Bleeding),FALSE,Mixed-Style,,,,Secondary,Primary,Poor,Poor,,Primary,2,"Hit-and-run melee flanker - Skirmisher caps at 1 attack too, trading the 2nd swing for extra mobility (no separate move-count mechanic in this sim - see tactics.py's own note - but reads as 'always able to reposition to its target'). Poison (Bleeding) adds a small decaying damage-over-time on top of a single modest hit rather than one big burst. Built with enemy_builder_pcstyle.py's real-PC-formula construction - Defense = 8 + Skill Total (design/ENEMY_ENCOUNTER_DESIGN.md's own validated poor/secondary/primary table, the designer's spreadsheet baseline), Damage = a weapon-style base + governing Stat, Resist = Essence alone (no longer sharing a number with Damage) - see that file's own module docstring for the full derivation. ParryTier/DodgeTier/BodilyTier/MentalTier/AttackTier (this row) replace the old Role/PrimaryDef/SecondaryDef/DamageBonus/AccuracyBonus/DefenseBonus columns for this row (left blank - unused by this construction method). HealthBonus=2 (Health 12 at Level 1, up from the real Baseline-party's own 10) is the one active retune knob, landed on after re-checking the whole calibration against the real drafted party (Hilde/Browndog/Carrick/Sable, not the smoothed generic one) and the party's own base targeting strategy (focus fire on whoever's hurt worst, then whichever enemy the whole party's collectively closest to - tactics.target_focus_wounded) once Harried (glossary.md - -1 Dodge/Parry per stack, gained by anyone who defends with Parry or Dodge, cleared at their own turn end) and both of those landed this same session. With this row's own actual Abilities (kept as-is, not the Powerful Weapon/Spell standin used to sweep the retune itself): win~99%, ~5.6 rounds (sd~1.6 - noticeably tighter than any earlier candidate this session), ~72% party Health remaining on a win - see design/enemy_sim/README.md's own entry for the full sweep and why Powerful Weapon/Spell reads as the reference point to eventually rebalance Durable/Strike (Vulnerable)/Poison (Bleeding) against, not a change to what actually ships yet."
Bog Caster,1,1,Strategist,Mental,Bodily,,Ranged Spell,Light,Hit Whatever,Flurry,,FALSE,Mixed-Style,,,,,,,,,,,"The deliberate 'polarizing double-tap' case, kept in the set on purpose for direct comparison - Ranged Spell + Flurry can land 2 hits a turn from range before the party can close in or retaliate, same shape as the archer the designer flagged as the swingy one. Everything else in this batch avoids this combination; this is the control case. DamageBonus/AccuracyBonus/DefenseBonus are blank again - reverted to the plain tunables.py-curve numbers (the designer's own balance-spreadsheet baseline, archive/flagonquest_encounter_builder.xlsx) per the designer's own call, pausing the win-rate retune pass rather than keeping it live. That retune (DamageBonus=3/AccuracyBonus=-2/DefenseBonus=-2, HEALTH_BASE[1]=8, landing win~68%/~4.7 rounds/~68% party Health on a win) is preserved in git history (see commit b0df932) and design/enemy_sim/README.md's own entry - the three columns/enemy_builder params stay in the schema for whenever this gets picked back up."
Fen Warden,1,1,,,,,Melee Spell,Light,Hit Whatever,Guarded,,FALSE,Mixed-Style,,,,Poor,Secondary,Poor,Primary,,Secondary,2,"A defensive caster that holds position and casts rather than closing distance - single attack (Guarded), Defensive role's own Parry/Dodge/Bodily/Mental spread makes it a well-rounded damage-soak on the spell side, mirroring Hedge Knight's melee version. Built with enemy_builder_pcstyle.py's real-PC-formula construction - Defense = 8 + Skill Total (design/ENEMY_ENCOUNTER_DESIGN.md's own validated poor/secondary/primary table, the designer's spreadsheet baseline), Damage = a weapon-style base + governing Stat, Resist = Essence alone (no longer sharing a number with Damage) - see that file's own module docstring for the full derivation. ParryTier/DodgeTier/BodilyTier/MentalTier/AttackTier (this row) replace the old Role/PrimaryDef/SecondaryDef/DamageBonus/AccuracyBonus/DefenseBonus columns for this row (left blank - unused by this construction method). HealthBonus=2 (Health 12 at Level 1, up from the real Baseline-party's own 10) is the one active retune knob, landed on after re-checking the whole calibration against the real drafted party (Hilde/Browndog/Carrick/Sable, not the smoothed generic one) and the party's own base targeting strategy (focus fire on whoever's hurt worst, then whichever enemy the whole party's collectively closest to - tactics.target_focus_wounded) once Harried (glossary.md - -1 Dodge/Parry per stack, gained by anyone who defends with Parry or Dodge, cleared at their own turn end) and both of those landed this same session. With this row's own actual Abilities (kept as-is, not the Powerful Weapon/Spell standin used to sweep the retune itself): win~99%, ~5.6 rounds (sd~1.6 - noticeably tighter than any earlier candidate this session), ~72% party Health remaining on a win - see design/enemy_sim/README.md's own entry for the full sweep and why Powerful Weapon/Spell reads as the reference point to eventually rebalance Durable/Strike (Vulnerable)/Poison (Bleeding) against, not a change to what actually ships yet."
Bog Skirmisher,1,1,,,,,Ranged Weapon,Light,Kiting,Aimed Shot,Strike (Vulnerable);Powerful Weapon,FALSE,Mixed-Style,,,,Poor,Secondary,Poor,Poor,,Primary,0,"New Kiting archetype - none of the original 4 Mixed-Style enemies (Hedge Knight/Marsh Archer/Skulking Footpad/Fen Warden) or Bog Caster ever retreat, so Parting Shot (T076) had nothing to trigger against; a real skirmisher who backs off after shooting. Ranged Weapon (Physical, distinct from Fen Warden's Melee Spell and Bog Caster's Ranged Spell), Aimed Shot rather than Guarded specifically because Kiting always spends its one move action retreating (tactics.move_kite) - Guarded's stand-still Bad Luck bonus would never trigger on a unit that always moves, so pairing Kiting with Guarded would waste half the Fighting Style. HealthBonus=0 (not the other four's +2) is a deliberate identity choice, not an oversight - this archetype's survivability is supposed to come from staying out of reach, not from raw Health, so it should die fast once actually caught (which Parting Shot and any other disengage-punishing effect is the whole point of). Built with enemy_builder_pcstyle.py's real-PC-formula construction, same as its four siblings - see Fen Warden's own Notes for the shared derivation. NOT calibrated to the same rigor as the other four (no multi-session Powerful Weapon/Spell standin sweep) - a quick 4x-clone check against the real drafted party (Hilde/Browndog/Carrick/Sable, movement=True) landed at win=100%, ~5.0 rounds, ~86% party Health on a win, well short of the other four's ~72% - Kiting alone doesn't hold up to a focused melee-heavy party in this simulator's bounded 20x20 arena (it gets cornered and caught quickly, then dies fast with HealthBonus=0), so a lone Kiter reads as considerably weaker than its stand-and-fight siblings at the same nominal Level. Good enough as a first cut to give Parting Shot and Kiting-targeting AI (tactics.target_kiter) something real to interact with; worth a fuller retune pass (more Health, or leaning harder into the Powerful Weapon/Strike (Vulnerable) bite) before treating it as validated content or folding it into MIXED_ROSTER's own default mix."
